Old Ticker,New Ticker,Search Term,Memo Title,Effective Date,Post Date,Classification
ADMV,ADMVE,ADMV ADMVE,Not found,,,Not Found
SNRT,LBAO,SNRT LBAO,Not found,,,Not Found
LBAOE,LBAO,LBAOE LBAO,Not found,,,Not Found
STFK,LBTD,STFK LBTD,Not found,,,Not Found
HELCG,NOBIN,HELCG NOBIN,Not found,,,Not Found
UACL,ULH,UACL ULH,Not found,,,Not Found
TTHX,TKCI,TTHX TKCI,Not found,,,Not Found
TRYV,TRYVD,TRYV TRYVD,Not found,,,Not Found
TKCIE,TKCI,TKCIE TKCI,Not found,,,Not Found
SMMO,EYGY,SMMO EYGY,Not found,,,Not Found
QHC.V,QHC,QHC.V QHC,Not found,,,Not Found
MICB,MICBE,MICB MICBE,Not found,,,Not Found
CNABE,CNAB,CNABE CNAB,Not found,,,Not Found
AMIB,MICBE,AMIB MICBE,Not found,,,Not Found
PNKZV,PNK,PNKZV PNK,Not found,,,Not Found
MYDXE,MYDX,MYDXE MYDX,Not found,,,Not Found
LG,SR,LG SR,"Customer Margins for OneChicago Futures
Operational",,05/08/2020,Unknown
LG,SR,LG SR,"CUSTOMER MARGINS FOR ONECHICAGO FUTURES
Operational",,04/13/2020,Unknown
LG,SR,LG SR,"Customer Margins for OneChicago Futures
Margins/Collateral/Clearing Fund",,03/25/2020,Unknown
LG,SR,LG SR,"Customer Margins for OneChicago Futures
Operational|Margins/Collateral/Clearing Fund",,04/13/2018,Unknown
LG,SR,LG SR,"Customer Margins for OneChicago Futures
Operational",,03/09/2018,Unknown
LG,SR,LG SR,"Customer Margins for OneChicago Futures
Operational",,02/09/2018,Unknown
LG,SR,LG SR,"THE LACLEDE GROUP, INC. - NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: LG NEW SYMBOL: SR DATE: 4/29/16
Contract Adjustment|Options",04/29/2016,04/28/2016,Adjustment
LG,SR,LG SR,"THE LACLEDE GROUP, INC. - ANTICIPATED NAME/SYMBOL/CUSIP CHANGE OPTION SYMBOL: LG NEW SYMBOL: SR DATE: 4/29/16???
Contract Adjustment|Options",,04/19/2016,Adjustment
CYGM,CYGMD,CYGM CYGMD,Not found,,,Not Found
MHFI,SPGI,MHFI SPGI,"MCGRAW HILL FINANCIAL, INC. - NAME/SYMBOL/CUSIP CHANGE FUTURES SYMBOLS: MHFI1C/MHFI1D NEW SYMBOLS: SPGI1C/SPGI1D DATE: 4/28/16
Contract Adjustment|Futures",04/28/2016,04/27/2016,Adjustment
