Old Ticker,New Ticker,Search Term,Memo Title,Effective Date,Post Date,Classification
SPPR,CDOR,SPPR CDOR,Not found,,,Not Found
PYPLV,PYPL,PYPLV PYPL,"EBAY INC.- DISTRIBUTION OPTION SYMBOLS:EBAY/2EBAY NEW SYMBOLS: EBAY1/2EBAY1 FUTURES SYMBOLS: EBAY1C/EBAY1D NEW SYMBOLS:EBAY2C/EBAY2D
Contract Adjustment|Options|Futures",07/20/2015,07/08/2015,Adjustment
PUBCD,PUBC,PUBCD PUBC,Not found,,,Not Found
MRXC,VRAY,MRXC VRAY,Not found,,,Not Found
GSKNF,GNK,GSKNF GNK,"BALTIC TRADING LIMITED - ANTICIPATED ADJUSTMENT OPTION SYMBOL: BALT NEW SYMBOL: GNK1
Contract Adjustment|Options",,07/08/2015,Adjustment
STFK,STFKE,STFK STFKE,Not found,,,Not Found
SKSK,SKSKD,SKSK SKSKD,Not found,,,Not Found
RCHA,RCHAE,RCHA RCHAE,Not found,,,Not Found
LIOC,LIOCE,LIOC LIOCE,Not found,,,Not Found
FCUV,FCUVE,FCUV FCUVE,Not found,,,Not Found
ATAOD,ATAOE,ATAOD ATAOE,Not found,,,Not Found
ATAO,ATAOE,ATAO ATAOE,Not found,,,Not Found
ARENE,AREN,ARENE AREN,Not found,,,Not Found
ALAZD,AREN,ALAZD AREN,Not found,,,Not Found
ALAZ,AREN,ALAZ AREN,Not found,,,Not Found
ENZBD,ENZB,ENZBD ENZB,Not found,,,Not Found
TORM,TORM,TORM TORM,Not found,,,Not Found
MLSOD,HSHS,MLSOD HSHS,Not found,,,Not Found
MLSO,HSHS,MLSO HSHS,Not found,,,Not Found
USPO,ONFA,USPO ONFA,Not found,,,Not Found
ONFAD,ONFA,ONFAD ONFA,Not found,,,Not Found
MLCGD,MLCG,MLCGD MLCG,Not found,,,Not Found
ECRYE,ECRY,ECRYE ECRY,Not found,,,Not Found
LGOO,TRHF,LGOO TRHF,Not found,,,Not Found
CLAC,LIND,CLAC LIND,Not found,,,Not Found
AFFWD,AHIT,AFFWD AHIT,Not found,,,Not Found
AFFW,AHIT,AFFW AHIT,Not found,,,Not Found
ENCR,ENCRD,ENCR ENCRD,Not found,,,Not Found
ORIF,ORI,ORIF ORI,Not found,,,Not Found
ECRY,ECRYE,ECRY ECRYE,Not found,,,Not Found
DLPM,DLPME,DLPM DLPME,Not found,,,Not Found
AREN,ARENE,AREN ARENE,Not found,,,Not Found
ALAZD,ARENE,ALAZD ARENE,Not found,,,Not Found
ALAZ,ARENE,ALAZ ARENE,Not found,,,Not Found
