Old Ticker,New Ticker,Search Term,Memo Title,Effective Date,Post Date,Classification
FBMS,RNST,FBMS RNST,"The First Bancshares, Inc. - Contract Adjustment Option Symbol: 04/01/2025 - FBMS remains FBMS 04/02/2025 - FBMS becomes RNST
Contract Adjustment|Options",04/01/2025,03/31/2025,Adjustment
FBMS,RNST,FBMS RNST,"The First Bancshares, Inc. - Anticipated Adjustment Option Symbol: FBMS New Symbol: RNST
Contract Adjustment|Options",,03/21/2025,Adjustment
SQY,XYZY,SQY XYZY,"YieldMax SQ Option Income Strategy ETF - Name/Symbol Change Option Symbol: SQY New Symbol: XYZY
Contract Adjustment|Options",04/01/2025,03/18/2025,Adjustment
YY,JOYY,YY JOYY,"JOYY Inc. - Symbol Change Option Symbol: YY New Symbol: JOYY
Contract Adjustment|Options",03/31/2025,03/28/2025,Adjustment
KRUZ,GOP,KRUZ GOP,"Unusual Whales Subversive Republican Trading ETF - Symbol Change Option Symbol: KRUZ New Symbol: GOP
Contract Adjustment|Options",03/21/2025,03/20/2025,Adjustment
CDXC,NAGE,CDXC NAGE,"ChromaDex Corporation - Name/Symbol Change Option Symbol: CDXC New Symbol: NAGE
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
AADI,WHWK,AADI WHWK,"Aadi Bioscience, Inc. - Name/Symbol Change Option Symbol: AADI New Symbol: WHWK
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
ALVR,KLRS,ALVR KLRS,"AlloVir, Inc. - Name/Symbol/CUSIP Change Adjusted Option Symbol: ALVR1 New Symbol: KLRS1
Contract Adjustment|Options",03/19/2025,03/18/2025,Adjustment
PUTW,WTPI,PUTW WTPI,"WisdomTree PutWrite Strategy Fund - Name/Symbol Change Option Symbol: PUTW New Symbol: WTPI
Contract Adjustment|Options",04/04/2025,02/24/2025,Adjustment
ICLK,AMBR,ICLK AMBR,"iClick Interactive Asia Group Limited - Name/Symbol Change Option Symbol: ICLK New Symbol: AMBR
Contract Adjustment|Options",03/13/2025,03/12/2025,Adjustment
FFIE,FFAI,FFIE FFAI,"Faraday Future Intelligent Electric Inc. - Symbol Change Option Symbols: FFIE/FFIE1/FFIE3 New Symbols: FFAI/FFAI1/FFAI3
Contract Adjustment|Options",03/10/2025,03/07/2025,Adjustment
FREY,TE,FREY TE,"FREYR Battery, Inc. - Name/Symbol Change Option Symbol: FREY New Symbol: TE
Contract Adjustment|Options",03/03/2025,02/20/2025,Adjustment
MPLN,CTEV,MPLN CTEV,"MultiPlan Corporation - Name/Symbol Change Option Symbols: MPLN/MPLN1 New Symbols: CTEV/CTEV1
Contract Adjustment|Options",02/28/2025,02/25/2025,Adjustment
LICY,LICYF,LICY LICYF,"Li-Cycle Holdings Corporation - Symbol Change Option Symbol: LICY New Symbol: LICYF
Contract Adjustment|Options",02/27/2025,02/26/2025,Adjustment
QRTEA,QVCGA,QRTEA QVCGA,"Qurate Retail, Inc. Series A - Name/Symbol Change Option Symbol: QRTEA New Symbol: QVCGA
Contract Adjustment|Options",02/24/2025,02/21/2025,Adjustment
HTBI,HTB,HTBI HTB,"HomeTrust Bancshares, Inc. - Symbol Change Option Symbol: HTBI New Symbol: HTB
Contract Adjustment|Options",02/24/2025,02/21/2025,Adjustment
TPX,SGI,TPX SGI,"Tempur Sealy International, Inc. - Name/Symbol Change Option Symbol: TPX New Symbol: SGI
Contract Adjustment|Options",02/18/2025,02/12/2025,Adjustment
NEP,XIFR,NEP XIFR,"NextEra Energy Partners, LP - Name/Symbol Change Option Symbol: NEP New Symbol: XIFR
Contract Adjustment|Options",02/03/2025,01/27/2025,Adjustment
NETZ,PWRD,NETZ PWRD,"TCW Transform Systems ETF - Symbol Change Option Symbol: NETZ New Symbol: PWRD
Contract Adjustment|Options",02/03/2025,01/29/2025,Adjustment
LAAC,LAR,LAAC LAR,"Lithium Americas (Argentina) Corporation - Name/Symbol/CUSIP Change Option Symbol: LAAC New Symbol: LAR
Contract Adjustment|Options",01/27/2025,01/24/2025,Adjustment
SQ,XYZ,SQ XYZ,"YieldMax SQ Option Income Strategy ETF - Name/Symbol Change Option Symbol: SQY New Symbol: XYZY
Contract Adjustment|Options",04/01/2025,03/18/2025,Adjustment
SQ,XYZ,SQ XYZ,"Block, Inc. - Symbol Change Option Symbols: SQ/1SQ/2SQ New Symbols: XYZ/1XYZ/2XYZ
Contract Adjustment|Options",01/21/2025,01/10/2025,Adjustment
CEIX,CNR,CEIX CNR,"CONSOL Energy Inc. - Name/Symbol/CUSIP Change Option Symbol: CEIX New Symbol: CNR
Contract Adjustment|Options",01/15/2025,01/14/2025,Adjustment
CEIX,CNR,CEIX CNR,"Arch Resources, Inc. - Contract Adjustment Option Symbol: 01/14/2025 - ARCH remains ARCH 01/15/2025 - ARCH becomes CNR1
Contract Adjustment|Options",01/14/2025,01/14/2025,Adjustment
CEIX,CNR,CEIX CNR,"Arch Resources, Inc. - Anticipated Adjustment Option Symbol: ARCH New Symbol: CEIX1 * * * Update * * *
Contract Adjustment|Options",,01/07/2025,Adjustment
CEIX,CNR,CEIX CNR,"Arch Resources, Inc. - Anticipated Adjustment Option Symbol: ARCH New Symbol: CNR1
Contract Adjustment|Options",,12/04/2024,Adjustment
SPI,SPIEF,SPI SPIEF,"SPI Energy Co., Ltd. - Symbol Change Option Symbol: SPI New Symbol: SPIEF
Contract Adjustment|Options",01/15/2025,01/14/2025,Adjustment
ASAI,ASAIY,ASAI ASAIY,"Sendas Distribuidora S.A. - Symbol Change Option Symbol: ASAI New Option Symbol: ASAIY
Contract Adjustment|Options",01/10/2025,01/08/2025,Adjustment
HEAR,TBCH,HEAR TBCH,"Turtle Beach Corporation - Symbol Change Option Symbol: HEAR New Symbol: TBCH
Contract Adjustment|Options",01/07/2025,01/06/2025,Adjustment
JBT,JBTM,JBT JBTM,"John Bean Technologies Corporation - Name/Symbol Change Option Symbol: JBT New Symbol: JBTM
Contract Adjustment|Options",01/03/2025,01/02/2025,Adjustment
VVI,PRSU,VVI PRSU,"Viad Corporation - Name/Symbol Change Option Symbol: VVI New Symbol: PRSU
Contract Adjustment|Options",01/02/2025,12/31/2024,Adjustment
BGNE,ONC,BGNE ONC,"BeiGene, Ltd. - Symbol Change Option Symbols: BGNE/2BGNE New Symbols: ONC/2ONC
Contract Adjustment|Options",01/02/2025,12/31/2024,Adjustment
BSIG,AAMI,BSIG AAMI,"BrightSphere Investment Group Inc. - Name/Symbol Change Option Symbol: BSIG New Symbol: AAMI
Contract Adjustment|Options",01/02/2025,12/31/2024,Adjustment
VCAR,TESL,VCAR TESL,"Simplify Volt TSLA Revolution ETF - Symbol Change Option Symbol: VCAR New Symbol: TESL
Contract Adjustment|Options",01/02/2025,12/20/2024,Adjustment
TTAC,ABFL,TTAC ABFL,"FCF US Quality ETF - Name/Symbol Change Option Symbol: TTAC New Symbol: ABFL
Contract Adjustment|Options",12/13/2024,12/12/2024,Adjustment
BOWL,LUCK,BOWL LUCK,"Bowlero Corporation - Name/Symbol Change Option Symbol: BOWL New Symbol: LUCK
Contract Adjustment|Options",12/12/2024,12/11/2024,Adjustment
