Old Ticker,New Ticker,Effective Date
CEEND,CEENF,10/01/2013
BMJ,BGI,10/01/2013
ASLRD,ASLRF,10/01/2013
SWEL,HCCA,9/30/2013
SPP,SPPJY,9/30/2013
SNYXF,SNYXD,9/30/2013
SAIC.V,SAIC,9/30/2013
OKNVD,VNSN,9/30/2013
OKNV,VNSN,9/30/2013
MONKE,MONK,9/30/2013
LDOS.V,LDOS,9/30/2013
CURGD,VOIL,9/30/2013
CURG,VOIL,9/30/2013
CIGRL,C$J,9/30/2013
BUWR,BLUUD,9/30/2013
BNLB,BNLBD,9/30/2013
BLUU,BLUUD,9/30/2013
RJTID,UMCO,9/27/2013
RJTI,UMCO,9/27/2013
OHGID,OHGI,9/27/2013
NTARU,NEE$P,9/27/2013
LTCHD,MCIG,9/27/2013
LTCH,MCIG,9/27/2013
CHSXP,CHSCO,9/27/2013
WGBSD,WGBS,9/26/2013
PEGIV,PEGI,9/26/2013
MONK,MONKE,9/26/2013
GSVA,INST,9/26/2013
GNBP,GNBPD,9/26/2013
USNR,CFPI,9/25/2013
PWITD,PWIT,9/25/2013
NNVCD,NNVC,9/25/2013
MLOG,NUTT,9/25/2013
HKDZ,SBID,9/25/2013
FRCND,FRCN,9/25/2013
FNJND,FNJN,9/25/2013
DLCRD,DLCR,9/25/2013
COIND,FNJN,9/25/2013
COIN,FNJN,9/25/2013
AHFDD,AHFD,9/25/2013
AGRM,PWIT,9/25/2013
ZCRMD,ZCRMF,9/24/2013
SPUPE,SPUP,9/24/2013
INF.V,INF.R,9/24/2013
GGXCF,IESCF,9/24/2013
AMRXD,RWMI,9/24/2013
AMRX,RWMI,9/24/2013
AFANE,AFAN,9/24/2013
ZRESD,ZRESF,9/23/2013
WTTJE,WTTJ,9/23/2013
VTDIE,VTDI,9/23/2013
PVRSE,PVRS,9/23/2013
NTCED,NTCEF,9/23/2013
NNGVD,NNGVF,9/23/2013
MKIT,MKITD,9/23/2013
LBGOE,LBGO,9/23/2013
EXEQF,EXEQD,9/23/2013
EPCTD,IMNP,9/23/2013
EPCT,IMNP,9/23/2013
CXZ,CRHRD,9/23/2013
CRMND,CRMNF,9/23/2013
CRHRF,CRHRD,9/23/2013
ABCRE,ABCR,9/23/2013
YNXGE,YNXG,9/20/2013
TRLOE,TRLO,9/20/2013
STKO,STKOD,9/20/2013
SPUP,SPUPE,9/20/2013
NORFD,NORFF,9/20/2013
MIDY,MIDYD,9/20/2013
LCMD,LCMDE,9/20/2013
HTHH,LCMDE,9/20/2013
GGREE,GGRE,9/20/2013
YOOIF,YOOID,9/19/2013
YNXG,YNXGE,9/19/2013
XANDN,XANDP,9/19/2013
UNWL,ABEC,9/19/2013
TCXB,MDCN,9/19/2013
SDIX,SDOI,9/19/2013
RTSOE,RTSO,9/19/2013
OCELE,OCEL,9/19/2013
MMCC,GAWK,9/19/2013
GNNCD,RTSO,9/19/2013
GNNC,RTSO,9/19/2013
GEEM,VEND,9/19/2013
BUKA,NNRX,9/19/2013
BARA,BARAD,9/19/2013
ZMDCE,ZMDC,9/18/2013
WEYIE,WEYI,9/18/2013
SSII,SSIID,9/18/2013
SRIT,SRITD,9/18/2013
SIBWY,SIBWZ,9/18/2013
SIBHF,SIBHY,9/18/2013
SIBGY,SIBGZ,9/18/2013
SIBCF,SIBCY,9/18/2013
RNBI,RNBIE,9/18/2013
PUNLD,NMEX,9/18/2013
PUNL,NMEX,9/18/2013
KOFFE,KOFF,9/18/2013
IDOIE,IDOI,9/18/2013
HIDCE,HIDC,9/18/2013
GGRE,GGREE,9/18/2013
ACMA,ACMAE,9/18/2013
YAGOF,YAGOY,9/17/2013
SPCBF,SPCB,9/17/2013
SPCBD,SPCB,9/17/2013
SJML,GEIG,9/17/2013
PUNLD,PUNL,9/17/2013
MMTED,MMTE,9/17/2013
KYNAP,KYN$G,9/17/2013
ILVCD,OXDG,9/17/2013
ILVC,OXDG,9/17/2013
RIMG,QUMU,9/16/2013
POILE,POILD,9/16/2013
POIL,POILD,9/16/2013
NXHZQ,NXCP,9/16/2013
NXHZ,NXCP,9/16/2013
MRRBY,CLSXY,9/16/2013
LPR,LPRI,9/16/2013
GYST,GYSTD,9/16/2013
GAYMF,GAYMD,9/16/2013
EPSO,EPSOD,9/16/2013
CCU.V,CCU.R,9/16/2013
AUTT,AUTTD,9/16/2013
ANCVE,ANCV,9/16/2013
XTOGD,XTOG,9/13/2013
VREYF,VREYD,9/13/2013
SAVID,MPAY,9/13/2013
SAVI,MPAY,9/13/2013
POTO,POTOD,9/13/2013
PMSTD,MIFC,9/13/2013
PMST,MIFC,9/13/2013
JSHG,JSHGE,9/13/2013
FWTSD,WSTV,9/13/2013
FWTS,WSTV,9/13/2013
SURF,FWSI,09/12/2013
ROTED,SPCL,09/12/2013
