Old Ticker,New Ticker,Effective Date
BLFSD,BLFS,2/27/2014
VAEV,THNS,2/26/2014
TBIOD,TBIO,2/26/2014
STFKE,STFK,2/26/2014
SMAKE,SMAK,2/26/2014
FNP,KATE,2/26/2014
DBTX,DBTXD,2/26/2014
BISU,BISUD,2/26/2014
AWKSD,AWKS,2/26/2014
VRDRE,VRDR,2/25/2014
USELD,USEL,2/25/2014
UCHC,UCHCD,2/25/2014
TPIV,TPIVD,2/25/2014
SVLEE,SVLE,2/25/2014
SVLED,SVLE,2/25/2014
SMPJY,SMCAY,2/25/2014
QBII,STNN,2/25/2014
MCUID,MCUIF,2/25/2014
JAMTD,JAMTF,2/25/2014
HFCOD,HFCO,2/25/2014
HBRMD,HBRM,2/25/2014
GPOFD,GPOFF,2/25/2014
EVRRF,EVRRD,2/25/2014
ESSI,ESSID,2/25/2014
AFLB,HFCO,2/25/2014
VRDR,VRDRE,2/24/2014
VODPF,VODPD,2/24/2014
UNOV,UNOVE,2/24/2014
STFK,STFKE,2/24/2014
SMAK,SMAKE,2/24/2014
RSOL,RGSE,2/24/2014
RIHTE,RIHT,2/24/2014
MEDA,MEDAE,2/24/2014
MDHI,MDHID,2/24/2014
MAXE,MAXEE,2/24/2014
HBNRD,HBNRF,2/24/2014
FPNC,MEDAE,2/24/2014
DIMI,DIMID,2/24/2014
CTCH,CYRN,2/24/2014
TSGLE,TSGL,2/21/2014
RWFC,RWFCE,2/21/2014
PDMT,PDMTE,2/21/2014
NKOSD,NKOSF,2/21/2014
LBPED,LBPE,2/21/2014
KOFFE,CDXI,2/21/2014
KOFF,CDXI,2/21/2014
HIPH,HIPHD,2/21/2014
EXPU,HIPHD,2/21/2014
ECCO,ECCOE,2/21/2014
DTEYF,DTEYD,2/21/2014
DSXXF,DSX$B,2/21/2014
DJAK,DJAKD,2/21/2014
CERPQ,CERPD,2/21/2014
CERP,CERPD,2/21/2014
CEKFF,CEKFD,2/21/2014
BMAV,BMAVE,2/21/2014
AVIA,TSGL,2/21/2014
AFFW,AFFWD,2/21/2014
WBSID,WBSI,2/20/2014
TXTM,TXTMD,2/20/2014
NGCPZ,NGHC,2/20/2014
IBIE,IBIED,2/20/2014
CEYY,BICX,2/20/2014
BPSRE,BPSR,2/20/2014
TRUE,CFCB,2/19/2014
MNHVD,MNHVF,2/19/2014
ISRBE,ISRB,2/19/2014
FRVZ,FRVZE,2/19/2014
CTGBL,C$L,2/19/2014
BPSR,BPSRE,2/19/2014
SVADD,SVAD,2/18/2014
NWFFF,NWFFD,2/18/2014
NCLTF,NCLTD,2/18/2014
MWAR,CBGI,2/18/2014
KNUR,UPPR,2/18/2014
DUMA,HECC,2/18/2014
CTRVV,CTRV,2/18/2014
VTDIE,VTDID,2/14/2014
VTDI,VTDID,2/14/2014
SSWFF,SSW$E,2/14/2014
RANFD,FILM,2/14/2014
RANF,FILM,2/14/2014
PNCR,PNCRD,2/14/2014
NEWM.V,NEWM,2/14/2014
AASID,AASI,2/14/2014
VEDO,HIHI,2/13/2014
UMKR,VIDG,2/13/2014
SZIHF,SZIHD,2/13/2014
