Old Ticker,New Ticker,Effective Date
SPPR,CDOR,7/21/2015
PYPLV,PYPL,7/20/2015
PUBCD,PUBC,7/20/2015
MRXC,VRAY,7/20/2015
GSKNF,GNK,7/20/2015
STFK,STFKE,7/17/2015
SKSK,SKSKD,7/17/2015
RCHA,RCHAE,7/17/2015
LIOC,LIOCE,7/17/2015
FCUV,FCUVE,7/17/2015
ATAOD,ATAOE,7/17/2015
ATAO,ATAOE,7/17/2015
ARENE,AREN,7/17/2015
ALAZD,AREN,7/17/2015
ALAZ,AREN,7/17/2015
ENZBD,ENZB,7/16/2015
TORM,TORM,A 7/15/2015
MLSOD,HSHS,7/15/2015
MLSO,HSHS,7/15/2015
USPO,ONFA,7/14/2015
ONFAD,ONFA,7/14/2015
MLCGD,MLCG,7/13/2015
ECRYE,ECRY,07/10/2015
LGOO,TRHF,07/09/2015
CLAC,LIND,07/09/2015
AFFWD,AHIT,07/09/2015
AFFW,AHIT,07/09/2015
ENCR,ENCRD,07/08/2015
ORIF,ORI,07/06/2015
ECRY,ECRYE,07/06/2015
DLPM,DLPME,07/06/2015
AREN,ARENE,07/06/2015
ALAZD,ARENE,07/06/2015
ALAZ,ARENE,07/06/2015
WRK.V,WRK,07/02/2015
SPNEV,SPNE,07/02/2015
RUK,RELX,07/02/2015
LILKV,LILAK,07/02/2015
LILAV,LILA,07/02/2015
ENL,RENX,07/02/2015
EBC1V,BITTI,07/02/2015
CPGX.V,CPGX,07/02/2015
AYNTE,AYNT,07/02/2015
TCNTE,TCNT,07/01/2015
HZN.V,HZN,07/01/2015
ENR.V,ENR,07/01/2015
ENR,EPC,07/01/2015
CHXF,CXSE,07/01/2015
CC.V,CC,07/01/2015
CBIN,YCB,07/01/2015
CABO.V,CABO,07/01/2015
BXLT.V,BXLT,07/01/2015
BWC,BWXT,07/01/2015
BLD.V,BLD,07/01/2015
BMXC,BMXCD,6/30/2015
ZMH,ZBH,6/29/2015
GCI.V,GCI,6/29/2015
GCI,TGNA,6/29/2015
SUTR,TOR,6/26/2015
CTEID,CETX,6/25/2015
CTEI,CETX,6/25/2015
PMCME,PMCM,6/24/2015
PMCMD,PMCM,6/24/2015
OSCYE,OSCY,6/24/2015
FFLOE,FFLO,6/24/2015
CHAAE,CHAA,6/24/2015
NVABV,NORVE,6/23/2015
PTBI,ABEO,6/22/2015
ITDPE,ITDP,6/22/2015
AFCTE,AFCT,6/22/2015
ORCTE,ORCT,6/19/2015
AYNT,AYNTE,6/19/2015
TCNT,TCNTE,6/18/2015
LILAK,LILKV,6/18/2015
ENZB,ENZBD,6/18/2015
CLADD,CLAD,6/18/2015
REAC,REACD,6/17/2015
PUBC,PUBCD,6/17/2015
POCO,PUBCD,6/17/2015
SLTNE,SLTN,6/16/2015
RTGN,PULM,6/16/2015
MTTAD,SLTN,6/16/2015
MTTA,SLTN,6/16/2015
CYRXD,CYRX,6/16/2015
VNIL,SDB,VNV SDB 6/15/2015
USPO,ONFAD,6/15/2015
SRG.V,SRG.R,6/15/2015
ONFA,ONFAD,6/15/2015
MLSO,MLSOD,6/15/2015
ACT,AGN,6/15/2015
OP,PREF,B OP PREF 6/12/2015
INXL,AVEN,06/12/2015
AFFW,AFFWD,06/10/2015
MCPIE,MCPI,06/09/2015
STAR,STAR,B 6/8/2015
NBS,CLBS,06/08/2015
GAHCE,GAHC,06/04/2015
TLN.V,TLN,06/02/2015
NES1V,NESTE,06/02/2015
FSRV,CIGI,06/02/2015
BLO,NRC,06/02/2015
USTR,ESND,06/01/2015
SCH,SCHA,06/01/2015
NHTB,LSBG,06/01/2015
FISH,AZUR,5/29/2015
BWS,CAL,5/29/2015
IMCLE,IMCL,5/28/2015
ALAZD,AREN,5/27/2015
ALAZ,AREN,5/27/2015
SLTN,SLTNE,5/26/2015
SLNRE,SLNR,5/26/2015
PXSC,EQWS,5/26/2015
PXMC,EQWM,5/26/2015
PXLC,EQWL,5/26/2015
PMCMD,PMCME,5/26/2015
PMCM,PMCME,5/26/2015
OSCY,OSCYE,5/26/2015
NYCC,CNTR,5/26/2015
MTTAD,SLTNE,5/26/2015
MTTA,SLTNE,5/26/2015
MCPI,MCPIE,5/26/2015
GAHC,GAHCE,5/26/2015
FFLO,FFLOE,5/26/2015
CHAA,CHAAE,5/26/2015
UBIQ,UBIQE,5/21/2015
ITDP,ITDPE,5/21/2015
IMCL,IMCLE,5/21/2015
CATQ,CATQE,5/21/2015
AFCT,AFCTE,5/21/2015
SGBHF,SGBH,5/20/2015
SGBHE,SGBH,5/20/2015
ORCT,ORCTE,5/20/2015
ONLIE,ONLI,5/20/2015
MTCPE,MTCP,5/20/2015
ITUPE,ITUP,5/20/2015
IDOIE,IDOI,5/20/2015
GEIGE,GEIG,5/20/2015
GEIGD,GEIG,5/20/2015
CLAD,CLADD,5/20/2015
