Old Ticker,New Ticker,Effective Date
COPI,COPID,10/03/2012
ADXSE,ADXS,10/03/2012
PKPZF,PKPZD,10/02/2012
PGCXD,PGCX,10/02/2012
KRFTV,KRFT,10/02/2012
KFT,MDLZ,10/02/2012
WNCM,WNCMD,10/01/2012
SNAX,SNAXD,10/01/2012
SIRGE,SIRG,10/01/2012
SCWB,FBTN,10/01/2012
ROYEE,ROYED,10/01/2012
ROYE,ROYED,10/01/2012
PTI,IGATY,10/01/2012
PNR.WI,PNR,10/01/2012
PNDI,CGEM,10/01/2012
OYOG,GEOS,10/01/2012
NISTY,NSSMY,10/01/2012
LEAT,LEATD,10/01/2012
HY.WI,HY,10/01/2012
HY.WD,HY,10/01/2012
GET,RHP,10/01/2012
FRMC,FRMCD,10/01/2012
BSMZD,BSMZF,10/01/2012
ANTR,ANTRD,10/01/2012
ADT.WI,ADT,10/01/2012
VAERF,VAERD,9/28/2012
PROPD,PROP,9/28/2012
MITPP,MITT.PRB,9/28/2012
KKOED,KKOEF,9/28/2012
GROV,GROVD,9/28/2012
FTGCD,FTGC,9/28/2012
EPHOD,GROVD,9/28/2012
EPHO,GROVD,9/28/2012
DCGCD,DCGCF,9/28/2012
ASHXD,ASHXF,9/28/2012
UNMNE,UNMN,9/27/2012
TGAL,CLRX,9/27/2012
SURF,SURFD,9/27/2012
SUNBD,SUNB,9/27/2012
MEDG,DUBL,9/27/2012
URXE,URXED,9/26/2012
RPBIF,RPBID,9/26/2012
NWBO,NWBOD,9/26/2012
LWWAE,LWWA,9/26/2012
HYH,HYH.CL,9/26/2012
GALEF,GALED,9/26/2012
DUCPE,DUCP,9/26/2012
BOMSF,BOMSD,9/26/2012
APEUF,APEUD,9/26/2012
TMK.PRA,TMK.PRA.CL,9/25/2012
NTRRE,NTRR,9/25/2012
NTRRD,NTRR,9/25/2012
MYMSF,MYMSD,9/25/2012
MISS,MISN,9/25/2012
FSRFD,FSRFF,9/25/2012
VLOV,VLOVD,9/24/2012
UOMOD,UOMO,9/24/2012
RVPL,RVPLE,9/24/2012
PINS,PINSE,9/24/2012
ORNI,OGEN,9/24/2012
OMOVD,OMOVF,9/24/2012
NTRRD,NTRRE,9/24/2012
NTRR,NTRRE,9/24/2012
JHDG,JHDGD,9/24/2012
HTR.RT.WI,HTR.RT,9/24/2012
HPCSE,HPCS,9/24/2012
GWRUU,GWRU,9/24/2012
FSPIE,FSPI,9/24/2012
DUCP,DUCPE,9/24/2012
DENGE,DENG,9/24/2012
CTBX,ECAU,9/24/2012
CGRXD,CGRXF,9/24/2012
CAML,CAMLE,9/24/2012
BLLXF,BXE,9/24/2012
AVRW,AVRWD,9/24/2012
AMTPL,AMTG.PRA,9/24/2012
AMHFD,AMHFF,9/24/2012
ADXS,ADXSE,9/24/2012
SLHVD,SLHVF,9/21/2012
PSAOL,PSA.PRV,9/21/2012
HMDID,AMIH,9/21/2012
HMDI,AMIH,9/21/2012
HLTDD,HLTD,9/21/2012
BKYKL,BK.PRC,9/21/2012
ASCOD,TATD,9/21/2012
ASCO,TATD,9/21/2012
ROAOD,ROAOF,9/20/2012
PTDVZ,PTDV,9/20/2012
MNXBD,MNXBY,9/20/2012
LWWA,LWWAE,9/20/2012
KNO,KNO.CL,9/20/2012
GXMLF,GXMLD,9/20/2012
GRBTD,PRGE,9/20/2012
GRBT,PRGE,9/20/2012
GRAVF,GRAVE,9/20/2012
ELEV,ELEVE,9/20/2012
UVHI,COGV,9/19/2012
SIBED,SIBE,9/19/2012
RVUEE,RVUE,9/19/2012
NLYYP,NLY.PRD,9/19/2012
LAST,LASTD,9/19/2012
ITVAD,BSKY,9/19/2012
ITVA,BSKY,9/19/2012
INIX,INIXD,9/19/2012
HY.WI,HY.WD,9/19/2012
UBNZF,UBNZD,9/18/2012
NIAS,NIASD,9/18/2012
URPLD,URPLF,9/17/2012
SOGP,TSTH,9/17/2012
SLMXD,SLMXF,9/17/2012
PSBSL,PSB.PRU,9/17/2012
PBCW,PBCWD,9/17/2012
ISOAD,ISOAY,9/17/2012
ISIM,ISIMD,9/17/2012
GWPC,GWPCD,9/17/2012
ELS.PRA,ELS.PRA.CL,9/17/2012
CMLGF,CMLGD,9/17/2012
CDYYE,CDYY,9/17/2012
BESVD,PEDO,9/17/2012
BESV,PEDO,9/17/2012
SYAID,SYAI,9/14/2012
RNBIE,RNBI,9/14/2012
GVNSF,GVNS,9/14/2012
GVNSD,GVNS,9/14/2012
FTTND,FTTN,9/14/2012
FMNJD,FMNJ,9/14/2012
XLRT,XLRTD,9/13/2012
VOXRD,VOXR,9/13/2012
PTRV,LFAP,9/13/2012
NEEUU,NEE.PRO,9/13/2012
GRAVE,GRAVF,9/13/2012
FUGID,FUGI,9/13/2012
TCHC,FNHC,09/12/2012
PSA.PRX,PSA.PRX.CL,09/12/2012
LFEFD,LFEFY,09/12/2012
IZON,IZOND,09/12/2012
CGFIA,CGFID,09/12/2012
ABCC,ABCCD,09/12/2012
SQBG,SQBGD,09/11/2012
PSA.PRF,PSA.PRF.CL,09/11/2012
PPLB,SQBGD,09/11/2012
OODHA,OODH,09/11/2012
NGEMD,NGEMF,09/11/2012
LWWAE,LWWA,09/11/2012
JRRD,JRRDD,09/11/2012
GSTV,GSTVD,09/11/2012
GRUHD,GSTVD,09/11/2012
GRUH,GSTVD,09/11/2012
FOUP,FDNB,09/11/2012
ATTBF,ATTBD,09/11/2012
WEGOD,WEGOF,09/10/2012
SUMMD,SUMM,09/10/2012
SSOLD,SSOL,09/10/2012
SRRHD,SRRHF,09/10/2012
HCF,NHF,09/10/2012
TLGN,TLGND,09/07/2012
SERSD,USTU,09/07/2012
SERS,USTU,09/07/2012
OPGX,OPGXD,09/07/2012
MSXPD,NVGC,09/07/2012
MSXP,NVGC,09/07/2012
MORAE,XUII,09/07/2012
MORA,XUII,09/07/2012
HMDID,HMDI,09/07/2012
ASCOD,ASCO,09/07/2012
TSXV,JUNR,09/06/2012
SUS.PRA,SUS.PRA.CL,09/06/2012
SGOUE,SGOU,09/06/2012
PSB.PRP,PSB.PRP.CL,09/06/2012
OPGXD,OPGX,09/06/2012
NVSRD,ERAO,09/06/2012
NVSR,ERAO,09/06/2012
MKBAF,MKBAD,09/06/2012
KNURD,KNUR,09/06/2012
KNGC,EMOR,09/06/2012
JPLML,JPM.PRD,09/06/2012
HPGSE,HPGS,09/06/2012
FDMFD,FDMF,09/06/2012
CDOOD,CDOOF,09/06/2012
AZGSD,AZGS,09/06/2012
TCLN,QUTR,09/05/2012
SWTR,CTDT,09/05/2012
RNBI,RNBIE,09/05/2012
MRCI,MAXE,09/05/2012
ITVAD,ITVA,09/05/2012
CTDTE,CTDT,09/05/2012
CSOAF,CSOAD,09/05/2012
CDIFE,CDIF,09/05/2012
VOG,EOX,09/04/2012
OPGX,OPGXD,09/04/2012
NTRRD,NTRR,09/04/2012
JMPLD,JMPLY,09/04/2012
GRAVF,GRAVE,09/04/2012
AGESD,AGESY,09/04/2012
TKDND,GRYN,8/31/2012
TKDN,GRYN,8/31/2012
PUNK,PUNKD,8/31/2012
PROP,PROPD,8/31/2012
PGCX,PGCXD,8/31/2012
MDHLF,MH.PRA,8/31/2012
FTGC,FTGCD,8/31/2012
BSMZF,BSMZD,8/31/2012
BESVD,BESV,8/31/2012
ANDNE,ANDN,8/31/2012
