Old Ticker,New Ticker,Effective Date
VSUT,NEWC,1/24/2013
LBYV,JFIL,1/24/2013
INOL,INOLD,1/24/2013
GOFF,GOFFD,1/24/2013
DUCPE,DUCP,1/24/2013
SUFF,SUFFD,1/23/2013
ORMP,ORMPD,1/23/2013
OPHI,OPHID,1/23/2013
MRVCD,MRVC,1/23/2013
GBLHF,GBLHD,1/23/2013
DPHGD,CRMI,1/23/2013
DPHG,CRMI,1/23/2013
CANSF,CANSD,1/23/2013
BLUF,BLUFD,1/23/2013
ALCDD,ALCD,1/23/2013
WLRMF,WLRMD,1/22/2013
VIZS,VIZSD,1/22/2013
TNSXD,BIGG,1/22/2013
TNSX,BIGG,1/22/2013
TMHO,TMHOD,1/22/2013
RWFCE,RWFC,1/22/2013
POKRD,MCVT,1/22/2013
POKR,MCVT,1/22/2013
PMFI,PMFID,1/22/2013
PCFG,PCFGD,1/22/2013
LMCBV,LMCB,1/22/2013
LMCBD,LMCB,1/22/2013
LMCAD,LMCA,1/22/2013
LIMOE,LIMO,1/22/2013
LIMOD,LIMO,1/22/2013
IAXFF,IAXFD,1/22/2013
GNWSD,GNWSF,1/22/2013
GNHRD,GNHRF,1/22/2013
ERSD,ERSDE,1/22/2013
BDGVD,MOAK,1/22/2013
BDGV,MOAK,1/22/2013
BAZI,BAZID,1/22/2013
AGIJD,AIGI,1/22/2013
AGIJ,AIGI,1/22/2013
WSMLE,WSML,1/18/2013
VRHD,VRHDE,1/18/2013
VNO.PRH,VNO.PRH.CL,1/18/2013
VNO.PRF,VNO.PRF.CL,1/18/2013
VCHS,VCHSD,1/18/2013
TEMO,ESWB,1/18/2013
STHGD,STHG,1/18/2013
SPOWE,SPOWD,1/18/2013
SPOW,SPOWD,1/18/2013
RWFC,RWFCE,1/18/2013
POKRD,POKR,1/18/2013
OLIED,OLIE,1/18/2013
MSLPD,MSLP,1/18/2013
MDMC,MDMCE,1/18/2013
JAENE,JAEN,1/18/2013
IFSIA,TILE,1/18/2013
HREIU,HREIF,1/18/2013
EMPGF,EPKMF,1/18/2013
DZRFD,DZRFF,1/18/2013
CPDJP,CPDJF,1/18/2013
CAAED,CAAEF,1/18/2013
BPAC,BPACD,1/18/2013
BANK,IXBK,1/18/2013
SOPCD,SOPC,1/17/2013
SOHFF,SOHFD,1/17/2013
QWBI,SLPC,1/17/2013
NWYTD,NWYT,1/17/2013
IFSC,IFSCD,1/17/2013
DRE.PRO,DRE.PRO.CL,1/17/2013
CGAQ,CGAQD,1/17/2013
CBJG,CBJGD,1/17/2013
AHLK,AHLKD,1/17/2013
SEKZD,SEKZF,1/16/2013
OARFD,OARFF,1/16/2013
GERUD,GERU,1/16/2013
FEGRD,FEGR,1/16/2013
DNDT,DNDTD,1/16/2013
VYCO,VYCOD,1/15/2013
SNPKE,PHRX,1/15/2013
SNPK,PHRX,1/15/2013
ROYEE,ROYE,1/15/2013
ROYED,ROYE,1/15/2013
NYCMD,NYCM,1/15/2013
