Old Ticker,New Ticker,Effective Date
OFC.PRJ,OFC.PRJ.CL,3/21/2013
AMIQD,AMIQF,3/21/2013
ADDUD,ADDU,3/21/2013
UWII,UWIIE,3/20/2013
TFIV,TFIVE,3/20/2013
TCOPP,TCO.PRK,3/20/2013
TCOPP,TCO$K,3/20/2013
TAECE,TAEC,3/20/2013
PNC.PRL,PNC.PRL.CL,3/20/2013
NYXO,NYXOD,3/20/2013
MMIPD,MMIPF,3/20/2013
LXP.PRD,LXP.PRD.CL,3/20/2013
LSYI,DRIO,3/20/2013
KGHZF,KGHZD,3/20/2013
GRAVF,PTRC,3/20/2013
GRAVE,PTRC,3/20/2013
FTER,FTERD,3/20/2013
ECOF,ECOFD,3/20/2013
CNTO,CNTOD,3/20/2013
BMLSD,BMLS,3/20/2013
ADNTD,GHML,3/20/2013
ADNT,GHML,3/20/2013
VRHDE,VRHD,3/19/2013
PYMX,PYMXD,3/19/2013
HPCSE,HPCS,3/19/2013
HPCSD,HPCS,3/19/2013
CSCG,INTU,3/19/2013
SNPY,SNPYD,3/18/2013
NSPRD,NSPR,3/18/2013
LPST,LPSTD,3/18/2013
KLSCE,KLSC,3/18/2013
CIMVF,CIMVD,3/18/2013
C.PRZ,C.PRZ.CL,3/18/2013
C.PRV,C.PRV.CL,3/18/2013
C.PRU,C.PRU.CL,3/18/2013
C.PRO,C.PRO.CL,3/18/2013
AVCA,DVCR,3/18/2013
APGR,APGRD,3/18/2013
VUNCF,SPCBF,3/15/2013
VKMLE,VKML,3/15/2013
VKMD,VKML,3/15/2013
TCKME,TCKM,3/15/2013
SDMTF,EMGCF,3/15/2013
SDMTD,EMGCF,3/15/2013
PSBVL,PSB.PRV,3/15/2013
PSBVL,PSB$V,3/15/2013
MITD,MITDD,3/15/2013
LKAI,LKAID,3/15/2013
LBTLD,DMNO,3/15/2013
LBTL,DMNO,3/15/2013
GRZ,GDRZF,3/15/2013
GLNCD,GLNCF,3/15/2013
CTIID,CTIIF,3/15/2013
XFD,XFD.CL,3/14/2013
VACC,VGEN,3/14/2013
TOPDANMARK,TOP,3/14/2013
SILAE,SILA,3/14/2013
SILAD,SILA,3/14/2013
PSAZL,PSA.PRX,3/14/2013
PSAZL,PSA$X,3/14/2013
NHPRD,NHPR,3/14/2013
NCNE,NCNED,3/14/2013
MWFHD,LIBE,3/14/2013
MWFH,LIBE,3/14/2013
LXES,LXESD,3/14/2013
LEVT,EVTI,3/14/2013
HADVD,HADV,3/14/2013
GFMDD,EMBK,3/14/2013
GFMD,EMBK,3/14/2013
FHWYD,FHWY,3/14/2013
CLNH,CLNHD,3/14/2013
CGPS,EVTI,3/14/2013
BTC,ESXB,3/14/2013
UYMGD,PTOG,3/13/2013
UYMG,PTOG,3/13/2013
SFMCD,SFMCF,3/13/2013
NSPRD,NSPR,3/13/2013
MNLV,ZGSI,3/13/2013
HCEI,HCEID,3/13/2013
BVTLD,BVTLF,3/13/2013
ATOXD,ATOXF,3/13/2013
VEMTF,VET,03/12/2013
PKK,PKK.CL,03/12/2013
PIS,PIS.CL,03/12/2013
PGRD,PGRDD,03/12/2013
MYGP,ROGP,03/12/2013
LOCNE,LOCN,03/12/2013
JMGE,JMGED,03/12/2013
INV,INNI,03/12/2013
