Old Ticker,New Ticker,Effective Date
ICNBD,ICNB,05/12/2014
GALKD,GALKF,05/12/2014
FNFHD,FNFHF,05/12/2014
YRLLF,YRLLD,05/09/2014
SBLKF,SB$C,05/09/2014
GEIGE,GEIG,05/09/2014
GEIGD,GEIG,05/09/2014
SUGRD,SUGR,05/08/2014
SSET,SSETD,05/08/2014
JFAIF,JFAID,05/08/2014
IHSIE,IHSI,05/08/2014
HTCO,ENVE,05/08/2014
HECC,HECCD,05/08/2014
GEIA,SSETD,05/08/2014
ETNMF,ETNMD,05/08/2014
DUMA,HECCD,05/08/2014
CTPMD,CTPMF,05/08/2014
AQUID,AQUI,05/08/2014
AMHER,AMH$C,05/08/2014
AMHEP,AMH$C,05/08/2014
SFPIE,SFPI,05/07/2014
RAGO,VRCI,05/07/2014
OTSHD,OTSHF,05/07/2014
HMUS,HMUSE,05/07/2014
GPLHE,GPLH,05/07/2014
GCNTE,GCNT,05/07/2014
CHREE,CHRE,05/07/2014
BVTED,BVTEF,05/07/2014
REXEF,REXEE,05/06/2014
PREXF,PREXE,05/06/2014
NTLNF,NTLNE,05/06/2014
IARSF,IARSD,05/06/2014
HCTIE,HCTI,05/06/2014
DCRD,DCRDD,05/06/2014
CGCCD,CGCC,05/06/2014
ZEGG,ZEGGD,05/05/2014
YNXGE,YNXG,05/05/2014
TRMNF,TRMND,05/05/2014
RMZFF,RMZFD,05/05/2014
NMEDD,NMED,05/05/2014
NAVE,PAOC,05/05/2014
MCVE,MCVED,05/05/2014
LGCPP,LGCYP,05/05/2014
HVPAE,ENDV,05/05/2014
HVPA,ENDV,05/05/2014
GNUSD,GNUS,05/05/2014
COLUF,COLUD,05/05/2014
BMDPF,BMDPD,05/05/2014
TECUB,TECU,05/02/2014
PFDS,AMRR,05/02/2014
NOEEE,NOEE,05/02/2014
MMTX,MMTXD,05/02/2014
HFAI,HFAIF,05/02/2014
ELRA,ELRAD,05/02/2014
DLDG,DLDGD,05/02/2014
BKITE,BKIT,05/02/2014
AMHER,AMHEP,05/02/2014
AHOND,AHONY,05/02/2014
ACKDD,ACKDF,05/02/2014
ABXXE,ABXX,05/02/2014
ZDEXF,ZDEXD,05/01/2014
VIZSD,KPOC,05/01/2014
VIZS,KPOC,05/01/2014
RMII,RMIID,05/01/2014
RCKB,UBNK,05/01/2014
PMRS,ANAS,05/01/2014
OCOO,DIMN,05/01/2014
NETYD,NETYF,05/01/2014
NAVIV,NAVI,05/01/2014
MSGGL,MS$G,05/01/2014
JAGGF,JAGGD,05/01/2014
HMGLD,HMGLF,05/01/2014
GSSCL,GS$K,05/01/2014
AOBID,AOBI,05/01/2014
ANTB,ANTBD,05/01/2014
ACKDY,ACDKY,05/01/2014
ACDKD,ACDKY,05/01/2014
ABFS,ARCB,05/01/2014
RFNCL,RF$B,4/30/2014
MPGSE,MPGS,4/30/2014
MOBOD,MOBO,4/30/2014
EXEQF,ANLDF,4/30/2014
COLVD,COLV,4/30/2014
BALI,BALID,4/30/2014
TFER,TFERD,4/29/2014
TENP,PETV,4/29/2014
SPLI,VPOR,4/29/2014
PMCT,CMCT,4/29/2014
PCC,CMCT,4/29/2014
HHII,HHIID,4/29/2014
GSCPF,PKTEF,4/29/2014
ESPIE,ESPI,4/29/2014
UMAXE,UMAX,4/28/2014
SXLPD,GBLX,4/28/2014
SXLP,GBLX,4/28/2014
OCAP,SNYR,4/28/2014
MRES,MRESD,4/28/2014
MIFCE,MIFC,4/28/2014
KOGMD,KOGMF,4/28/2014
SBWFD,SBWFF,4/25/2014
