Old Ticker,New Ticker,Effective Date
SFDYD,HZNM,5/17/2013
SFDY,HZNM,5/17/2013
RNER,RNERD,5/17/2013
NVAE,NVAED,5/17/2013
MMAX,MMAXD,5/17/2013
MITDD,MITD,5/17/2013
IIT,PTINY,5/17/2013
FCSCD,FCSC,5/17/2013
EPAQU,IRIGU,5/17/2013
EPAQ,IRIG,5/17/2013
CPSMP,CMO$E,5/17/2013
CLADE,CLAD,5/17/2013
YLLCD,NRGT,5/16/2013
YLLC,NRGT,5/16/2013
TTNP,TTNPE,5/16/2013
PGOL,PGOLE,5/16/2013
NRZ.V,NRZ,5/16/2013
NRCIA,NRCIV,5/16/2013
LWHS,WLH,5/16/2013
ITTC,ENCR,5/16/2013
GFNN,GFNM,5/16/2013
FMWC,BFNC,5/16/2013
EDEV,MEME,5/16/2013
CUUU,CUBI,5/16/2013
CSEHY,CSEHD,5/16/2013
ANDNE,ANDF,5/16/2013
ANDN,ANDF,5/16/2013
ACAR,ACARD,5/16/2013
THCB,SAMP,5/15/2013
TEEEE,TEEE,5/15/2013
STTYF,STTYD,5/15/2013
NVTP,NVTPD,5/15/2013
HVFI,NUZE,5/15/2013
EXTO,BAYP,5/15/2013
ANDNE,ANDN,5/15/2013
NWCNE,NWCN,5/14/2013
MXGD,PGVI,5/14/2013
MWWCD,MWWC,5/14/2013
MNDLD,MNDL,5/14/2013
MHP,MHFI,5/14/2013
LRTCD,HKIG,5/14/2013
LRTC,HKIG,5/14/2013
FSCND,MOXG,5/14/2013
FSCN,MOXG,5/14/2013
CDQFD,CDQFF,5/14/2013
BRTXD,BRTX,5/14/2013
ABRBP,ABR$B,5/14/2013
TSKEF,TNP$B,5/13/2013
RGDCF,RGDCD,5/13/2013
PVAYY,PVAYL,5/13/2013
NSAV,NSAVD,5/13/2013
ISNND,TPNI,5/13/2013
ISNN,TPNI,5/13/2013
IMLEE,IMLE,5/13/2013
CGFI,CGFID,5/13/2013
CALVE,CALVF,5/13/2013
CALVD,CALVF,5/13/2013
ASAMD,ASAM,5/13/2013
SRSGD,SRSG,05/10/2013
ONTC,ONTCD,05/10/2013
GLTVE,GLTVD,05/10/2013
GLTV,GLTVD,05/10/2013
EVFND,EVFN,05/10/2013
EQIBWSL,BEIBWSL,05/10/2013
EOPTE,EOPT,05/10/2013
CLTK,EOPT,05/10/2013
