Old Ticker,New Ticker,Effective Date
MCC,PFX,01/04/2021
DMYT,RSI,12/30/2020
LCA,GNOG,12/30/2020
RMG,RMO,12/30/2020
HCFT,LFT,12/28/2020
PTI,YMTX,12/23/2020
KTOV,PPBT,12/22/2020
HCAC,GOEV,12/22/2020
PIC,XL,12/22/2020
IPOB,OPEN,12/21/2020
SAMA,CLVR,12/21/2020
IRET,CSR,12/21/2020
FEAC,SKLZ,12/17/2020
TRNE,DM,12/10/2020
BTE,BTEGF,12/07/2020
GMHI,LAZR,12/03/2020
WRTC,WRAP,12/01/2020
AAN,PRG,12/01/2020
UN,UL,11/30/2020
KCAC,QS,11/27/2020
RTRX,TVTX,11/19/2020
FVAC,MP,11/18/2020
BMRG,EOSE,11/17/2020
AXGT,SIOX,11/13/2020
NFIN,TRIT,11/11/2020
TRWH,BALY,11/09/2020
HCCO,TLMD,11/02/2020
SPAQ,FSR,10/30/2020
CPAA,ADV,10/29/2020
DPHC,RIDE,10/26/2020
AI,AAIC,10/26/2020
FMCI,TTCF,10/16/2020
TSU,TIMB,10/16/2020
INSU,SFT,10/15/2020
CCXX,MPLN,10/09/2020
ADRO,KDNY,10/06/2020
SERV,TMX,10/05/2020
SHLL,HYLN,10/02/2020
GRAF,VLDR,9/30/2020
EROS,ESGC,9/23/2020
CTL,LUMN,9/18/2020
SPN,SPNX,9/18/2020
TORC,ACET,9/16/2020
PER,PERS,09/09/2020
MNLO,VYNE,09/08/2020
ZN,ZNOG,09/02/2020
AFH,AFHIF,09/02/2020
FPAC,GB,8/31/2020
CCH,UTZ,8/31/2020
ROYT,ROYTL,08/06/2020
TCRD,FCRD,08/03/2020
RTIX,SRGA,7/23/2020
RBS,NWG,7/23/2020
ERI,CZR,7/21/2020
XRF,SOS,7/20/2020
POL,AVNT,7/13/2020
RTW,RTWI,07/08/2020
CATS,OTRK,07/07/2020
VIIX,VIIXF,07/06/2020
INTL,SNEX,07/06/2020
CVTI,CVLG,07/06/2020
RUBI,MGNI,07/01/2020
LK,LKNCY,6/29/2020
SDRL,SDRLF,6/23/2020
FDEF,PFC,6/22/2020
TOCA,FBRX,6/16/2020
VRML,AWH,06/12/2020
ERA,VTOL,06/12/2020
VTIQ,NKLA,06/04/2020
APY,CHX,06/04/2020
SPAR,SHYF,06/01/2020
AOBC,SWBI,06/01/2020
ZFGN,LRMR,5/29/2020
CNAT,HSTO,5/27/2020
CUI,OEG,05/11/2020
AKG,GAU,05/05/2020
INNT,NMTR,05/04/2020
SCIF,GLIN,05/01/2020
PEK,GLCN,05/01/2020
DEAC,DKNG,4/24/2020
MSG,MSGS,4/20/2020
RECN,RGP,04/02/2020
OBE,OBELF,04/02/2020
ARNC,HWM,04/01/2020
NLNK,LUMO,3/19/2020
HIIQ,BFYT,03/06/2020
IR,TT,03/02/2020
GDI,IR,03/02/2020
BPR,BPYU,03/02/2020
XON,PGEN,02/03/2020
WTR,WTRG,02/03/2020
FII,FHI,02/03/2020
BIOS,OPCH,02/03/2020
ECA,OVV,1/27/2020
HLTH,NRTSF,1/24/2020
FGP,FGPR,01/10/2020
PJC,PIPR,01/06/2020
SNH,DHC,01/02/2020
CECO,PRDO,01/02/2020
GEMP,NRBO,12/31/2019
SPNV,SPN,12/26/2019
CRR,CRRT,12/24/2019
HOS,HOSS,12/23/2019
