Old Ticker,New Ticker,Effective Date
TRNOP,TRNO.PRA,7/20/2012
SPFM,MIHL,7/20/2012
SAVW,SAVWD,7/20/2012
MDLL,FTDL,7/20/2012
IDNGD,IDNG,7/20/2012
HBP,HBPC,7/20/2012
GEYEF,GEYED,7/20/2012
DDR.PRI,DDR.PRI.CL,7/20/2012
CLNOE,CLNO,7/20/2012
BRWS,BPOT,7/20/2012
AXIO,AXIOE,7/20/2012
YYIN,YYINE,7/19/2012
VKMLD,VKMDE,7/19/2012
VKML,VKMDE,7/19/2012
SWTR,CTDTE,7/19/2012
SCIO,SCIOE,7/19/2012
RBOR,RBORE,7/19/2012
IFCR,IFCRE,7/19/2012
GCLL,GCLLE,7/19/2012
ELCO,ELCOD,7/19/2012
DLPME,DLPM,7/19/2012
CXLL,CXLLE,7/19/2012
CTDT,CTDTE,7/19/2012
CASL,CASLD,7/19/2012
BZHMV,BZT,7/19/2012
BZHM,BZT,7/19/2012
ATTUF,ATTUD,7/19/2012
WTFS,WTFSD,7/18/2012
TRABE,TRAB,7/18/2012
TLAG,TLAGD,7/18/2012
SRFDF,SRFDE,7/18/2012
RDLCF,RDLCD,7/18/2012
OLEPE,OLEPF,7/18/2012
GQHL,GQHLD,7/18/2012
FGLDE,FGLD,7/18/2012
EGL.WI,EGL,7/18/2012
DPDW,DPDWD,7/18/2012
BFLXE,BFLX,7/18/2012
UPSTD,UPST,7/17/2012
TNEYF,TNEYD,7/17/2012
SOCU,GMUI,7/17/2012
PALTE,PALTF,7/17/2012
KIM.PRF,KIM.PRF.CL,7/17/2012
JECFF,JECFD,7/17/2012
ISLD,CHGH,7/17/2012
DKP,DKP.CL,7/17/2012
ALNGD,ALNGF,7/17/2012
VVIVF,VVIVD,7/16/2012
VIOSF,VIOSD,7/16/2012
UTG.RT.WI,UTG.RT,7/16/2012
SBAT,VKIN,7/16/2012
PFRC,PFRCD,7/16/2012
PETD,PDCE,7/16/2012
NCDL,DCGD,7/16/2012
IKR,IKR.CL,7/16/2012
GRUHD,GRUH,7/16/2012
PWMYD,STTX,7/13/2012
PWMY,STTX,7/13/2012
PLV,PLV.CL,7/13/2012
NNAND,NNAN,7/13/2012
ECSID,PGTK,7/13/2012
ECSI,PGTK,7/13/2012
CHFYD,CHFY,7/13/2012
C.PRF,C.PRF.CL,7/13/2012
AMNPD,AMNP,7/13/2012
XODGE,XODG,07/12/2012
QLTSE,QLTS,07/12/2012
MWWC,MWWCD,07/12/2012
MMAM,MMAMD,07/12/2012
MKV,MKV.CL,07/12/2012
MCSC,WMHI,07/12/2012
GTWN,GTWND,07/12/2012
GBTR,GBTRD,07/12/2012
EVGI,EVGID,07/12/2012
COWIE,COWID,07/12/2012
COWI,COWID,07/12/2012
AVII,SRPT,07/12/2012
ANEGY,ANEGD,07/12/2012
UNDTE,UNDTD,07/11/2012
UNDT,UNDTD,07/11/2012
SXCI,CTRX,07/11/2012
SHPGY,SHPG,07/11/2012
REPLE,SSIT,07/11/2012
REPL,SSIT,07/11/2012
PWMYD,PWMY,07/11/2012
NFRM,NFRMD,07/11/2012
MGRN,MGRND,07/11/2012
IVFHD,IVFH,07/11/2012
HZNBE,HZNB,07/11/2012
FNCXD,VGGL,07/11/2012
FNCX,VGGL,07/11/2012
EPHOD,GROV,07/11/2012
EPHO,GROV,07/11/2012
BZHMV,BZHM,07/11/2012
VRSCF,VRSCD,07/10/2012
TUFFE,TUFF,07/10/2012
SANP,SANPD,07/10/2012
PLPLE,PLPL,07/10/2012
NZT,NZTCY,07/10/2012
NXIFD,NXIFF,07/10/2012
FWGOE,FWGO,07/10/2012
FTB.PRB,FTB.PRB.CL,07/10/2012
BAFYY,BAFYD,07/10/2012
ANYID,ANYI,07/10/2012
TKSSD,TKSS,07/09/2012
SWTR,CTDT,07/09/2012
QUEZD,QUEZF,07/09/2012
OGNGD,OGNG,07/09/2012
OFC.PRG,OFC.PRG.CL,07/09/2012
CWLXF,CWLXD,07/09/2012
CCBXD,CCBX,07/09/2012
AGFLD,GDFI,07/09/2012
AGFL,GDFI,07/09/2012
WTSHF,WTSHD,07/06/2012
TNTHD,TNTHF,07/06/2012
TBSS,TBSSE,07/06/2012
SKRED,SKREF,07/06/2012
RNBI,RNBIE,07/06/2012
RBGCD,RBGCF,07/06/2012
QLTS,QLTSE,07/06/2012
PLPL,PLPLE,07/06/2012
NKAFF,NKAFD,07/06/2012
LGRED,LGREF,07/06/2012
IVRVF,IVRVD,07/06/2012
IAGX,IAGXE,07/06/2012
FURAF,FURAD,07/06/2012
FNCXD,FNCX,07/06/2012
EXETF,EXETD,07/06/2012
