Old Ticker,New Ticker,Effective Date
OKNV,VNSN,12/06/2013
MJXFD,MJXFF,12/06/2013
LIDO,HBPE,12/06/2013
GCHIF,GCHID,12/06/2013
CCNCF,CCNCD,12/06/2013
TRWS,JDID,12/05/2013
MCVI,MCVID,12/05/2013
ECCOE,ECCO,12/05/2013
SBADU,SWH,12/04/2013
LILM,GTPH,12/04/2013
EFRFF,UUUU,12/04/2013
EFRFD,UUUU,12/04/2013
CHLHA,DRMC,12/04/2013
BLSP,BLSPD,12/04/2013
AKAVF,AKAVD,12/04/2013
TAJIF,TAJID,12/03/2013
RXGX,RXDX,12/03/2013
PMTC,PTC,12/03/2013
PBCW,EXSL,12/03/2013
IGASD,RXDX,12/03/2013
IGAS,RXDX,12/03/2013
BLAIF,BLAID,12/03/2013
ANPZD,ANPZ,12/03/2013
ANGCF,ANGCD,12/03/2013
XTRN,XTRND,12/02/2013
WOSYY,WOSYD,12/02/2013
STDRD,EFCT,12/02/2013
STDR,EFCT,12/02/2013
STAN,SP,12/02/2013
RRGR,EPRO,12/02/2013
RECV,LLEX,12/02/2013
PTOOE,PTOO,12/02/2013
PDGO,PDGOD,12/02/2013
LTD,LB,12/02/2013
KCKC,KSIH,12/02/2013
IGASD,RXGX,12/02/2013
IGAS,RXGX,12/02/2013
HYIID,HYII,12/02/2013
GPAYE,GPAY,12/02/2013
ALLE.V,ALLE,12/02/2013
AGLAF,AGLAD,12/02/2013
WPO,GHC,11/29/2013
SXLPD,SXLP,11/29/2013
GRASD,GRAS,11/29/2013
EENZD,EENZF,11/29/2013
BRRED,BRRE,11/29/2013
ARNID,ARNI,11/29/2013
ZNOMD,WHCA,11/27/2013
ZNOM,WHCA,11/27/2013
VOISD,VOIS,11/27/2013
RWMIE,RWMI,11/27/2013
MSTGE,MSTG,11/27/2013
LISBD,LISB,11/27/2013
GLOI,PPRO,11/27/2013
EIRCE,EIRC,11/27/2013
DTSRD,DTSRF,11/27/2013
CBKAZ,CBKPP,11/27/2013
AMRXD,RWMI,11/27/2013
AMRX,RWMI,11/27/2013
WFAFY,WFAFD,11/26/2013
TGWID,CMKI,11/26/2013
TGWI,CMKI,11/26/2013
QPONE,QPOND,11/26/2013
QPON,QPOND,11/26/2013
NGEYE,NGEY,11/26/2013
CCRY,ARTR,11/26/2013
CBKLZ,CBKLP,11/26/2013
BRVM,ZENO,11/26/2013
UTCH,UTCHD,11/25/2013
TXHED,TXHE,11/25/2013
TTMRD,TTMRF,11/25/2013
TNLXD,TNLX,11/25/2013
TBDYD,TBDYF,11/25/2013
RKLFD,RKLFF,11/25/2013
MBGID,DPSM,11/25/2013
MBGI,DPSM,11/25/2013
LRZZD,LRZZF,11/25/2013
GPOFD,GPOFF,11/25/2013
FPVTF,FPVTD,11/25/2013
FNTRD,FNTRF,11/25/2013
ELNOF,ELNOD,11/25/2013
DMHIE,DMHI,11/25/2013
CDY,CDYCF,11/25/2013
CAMGE,CAMG,11/25/2013
WCHS,WCHSE,11/22/2013
VNSN,VNSNE,11/22/2013
UBIQ,UBIQE,11/22/2013
TGWID,TGWI,11/22/2013
SNAXD,SNAX,11/22/2013
RWMI,RWMIE,11/22/2013
PTOO,PTOOE,11/22/2013
OKNVD,VNSNE,11/22/2013
OKNV,VNSNE,11/22/2013
NGEY,NGEYE,11/22/2013
MSTG,MSTGE,11/22/2013
JUDO,JUDOE,11/22/2013
JPEX,JPEXE,11/22/2013
HVPA,HVPAE,11/22/2013
HVAY,HVAYE,11/22/2013
HJOE,HJOEE,11/22/2013
HIDC,HIDCE,11/22/2013
GTHR,GTHRE,11/22/2013
GBVSD,RLBD,11/22/2013
GBVS,RLBD,11/22/2013
EPLCD,ZOSN,11/22/2013
EPLC,ZOSN,11/22/2013
ECCO,ECCOE,11/22/2013
CAMG,CAMGE,11/22/2013
AMRXD,RWMIE,11/22/2013
AMRX,RWMIE,11/22/2013
AMOK,AMOKD,11/22/2013
RRGYD,RRGYF,11/21/2013
NVIGF,NVGS,11/21/2013
NLTX,NLTXD,11/21/2013
MNAIE,MNAI,11/21/2013
IPHAD,IPHAF,11/21/2013
HKTUD,HKTU,11/21/2013
EVENF,EVGN,11/21/2013
DRIFD,DRIFF,11/21/2013
DECXD,DECXF,11/21/2013
ARXGD,ARXG,11/21/2013
VDSC,PVEC,11/20/2013
SHRKD,EGRN,11/20/2013
SHRK,EGRN,11/20/2013
SAYC,SAYCD,11/20/2013
SAFC,SAFCE,11/20/2013
PTAE,PTAEE,11/20/2013
POAIE,POAI,11/20/2013
PDKI,PDKIE,11/20/2013
NSRSE,NSRS,11/20/2013
MFTH,MFTHE,11/20/2013
GPAY,GPAYE,11/20/2013
FTEGD,FTEG,11/20/2013
EIRC,EIRCE,11/20/2013
DMHI,DMHIE,11/20/2013
CNGV,SAYCD,11/20/2013
CACJ,OSKV,11/20/2013
AMPOE,AMPO,11/20/2013
AHP.V,AHP,11/20/2013
SHRKD,SHRK,11/19/2013
NTARU,NEE$P,11/19/2013
MIMV,ADTM,11/19/2013
IDYLD,IDYLF,11/19/2013
CANFY,CANF,11/19/2013
ALQA,ALQAD,11/19/2013
ZPPBD,ZPPB,11/18/2013
WWSG,WWSGE,11/18/2013
RIBT,RIBTD,11/18/2013
PDMTE,PDMT,11/18/2013
MNAI,MNAIE,11/18/2013
LNGYF,LNGYD,11/18/2013
LKWDF,LKWDD,11/18/2013
ILVLD,TLPY,11/18/2013
ILVL,TLPY,11/18/2013
GKNID,AHCP,11/18/2013
GKNI,AHCP,11/18/2013
EMYSD,EMYSF,11/18/2013
CRZHD,CRZHF,11/18/2013
CGHCE,CGHC,11/18/2013
SWIXD,SWIXF,11/15/2013
SNTID,SNTI,11/15/2013
SAPXD,SAPX,11/15/2013
PCFGD,PCFG,11/15/2013
MDMCD,GAMZ,11/15/2013
MDMC,GAMZ,11/15/2013
LWSP,LWSPD,11/15/2013
HCS$B,HSEB,11/15/2013
HCS,HSEA,11/15/2013
HBEXF,HBEXD,11/15/2013
HBC,HSBC,11/15/2013
GIFD,SELF,11/15/2013
FSTW,FSTWD,11/15/2013
DVCOD,SPTK,11/15/2013
DVCO,SPTK,11/15/2013
DLNOD,DLNO,11/15/2013
CRTZF,CRTZD,11/15/2013
AXIOD,AXIO,11/15/2013
PWOND,PWON,11/14/2013
PSPGD,PSPGF,11/14/2013
EXSFF,EXSFD,11/14/2013
EVLN,EVLND,11/14/2013
EKODW,KODK.A,11/14/2013
UPG,UPGI,11/13/2013
SGGHD,SGGH,11/13/2013
MFON,MFOND,11/13/2013
LBHRD,LBHRF,11/13/2013
STKOD,FPFI,11/12/2013
STKO,FPFI,11/12/2013
SBRH,SBRHD,11/12/2013
PHARD,NESI,11/12/2013
PHAR,NESI,11/12/2013
MEXPD,INOH,11/12/2013
MEXP,INOH,11/12/2013
LPSID,LPSIF,11/12/2013
LGMFF,LGMFD,11/12/2013
KATX,KATXD,11/12/2013
INKA,INKAD,11/12/2013
HHDG,HHDGD,11/12/2013
GVITD,KAST,11/12/2013
GVIT,KAST,11/12/2013
GIHI,EMBR,11/12/2013
ESRND,BANJ,11/12/2013
ESRN,BANJ,11/12/2013
EMBRD,EMBR,11/12/2013
CYNLL,CYN$D,11/12/2013
ONCID,ONCI,11/11/2013
GGCO,BRGC,11/11/2013
GEIA,SSET,11/11/2013
CLPM,CPXX,11/11/2013
VIGS,ESES,11/08/2013
NSEFF,NSEFD,11/08/2013
GSTXP,GST$B,11/08/2013
GNLC,CESX,11/08/2013
RTYFZ,CVHL,11/07/2013
MJXFF,MJXFD,11/07/2013
LEVL,SPRZ,11/07/2013
ISGID,ISGI,11/07/2013
AVLPE,AVLP,11/07/2013
XCHC,ENDO,11/06/2013
