Old Ticker,New Ticker,Effective Date
MSEI,VOLT,7/22/2013
MARA,MARAD,7/22/2013
LOCNE,LOCN,7/22/2013
GREED,BISN,7/22/2013
GREE,BISN,7/22/2013
GLTEF,GLTED,7/22/2013
FVBC,AEGA,7/22/2013
EVPH,EVPHD,7/22/2013
DDRIE,DDRI,7/22/2013
CRFN,VSB,7/22/2013
ASMC,MARAD,7/22/2013
APGS,APGSD,7/22/2013
XGTC,XGTI,7/19/2013
WSEG,WSEGE,7/19/2013
VTCHD,GFOX,7/19/2013
VTCH,GFOX,7/19/2013
TSCAF,TSCAD,7/19/2013
TPCS,TPCSE,7/19/2013
RJDG,RJDGE,7/19/2013
PVENE,PVEN,7/19/2013
PVEND,PVEN,7/19/2013
NAOG,NAOGD,7/19/2013
MONT,APPZ,7/19/2013
LOCN,LOCNE,7/19/2013
LIPN,ADGS,7/19/2013
GYPH,GYPHE,7/19/2013
GALEF,GALED,7/19/2013
ENYC,ENYCD,7/19/2013
CSOC,CSOCE,7/19/2013
ABCR,ABCRE,7/19/2013
TRSS,TRSSD,7/18/2013
GREED,GREE,7/18/2013
EENR,EENRE,7/18/2013
CYPXD,CYPXF,7/18/2013
CTXDD,CTXDF,7/18/2013
CNAM,AMCO,7/18/2013
BPAX,ANIP,7/18/2013
ALGF,ALGFD,7/18/2013
STVE,RIHT,7/17/2013
SCGQU,RMGNU,7/17/2013
QBC,CBNR,7/17/2013
MCBFD,MCBF,7/17/2013
DMPD,DMPDD,7/17/2013
BERI,BERID,7/17/2013
TZYM,OCRX,7/16/2013
TPRWD,TPRWF,7/16/2013
TPRFD,TPRFF,7/16/2013
SSNHY,SSNHZ,7/16/2013
SGPYD,SGPYY,7/16/2013
SDNT,SDNTD,7/16/2013
RGHT,STEV,7/16/2013
POGLD,POGLY,7/16/2013
LGSRD,LGSR,7/16/2013
KUB,KUBTY,7/16/2013
INVAD,INVA,7/16/2013
GSPT,GSPTD,7/16/2013
CVALF,CVALD,7/16/2013
XTLBY,XTLB,7/15/2013
TNTHD,TNTHF,7/15/2013
TCKME,ECIG,7/15/2013
TCKM,ECIG,7/15/2013
STEV,RGHT,7/15/2013
SNRAD,SNRAF,7/15/2013
PMDXD,CLMC,7/15/2013
PMDX,CLMC,7/15/2013
MMTCD,MMTC,7/15/2013
GELT,GELTD,7/15/2013
FICFD,ITEN,7/15/2013
FICF,ITEN,7/15/2013
CDFTD,CDFT,7/15/2013
BWMG,BWMGD,7/15/2013
ADXS,ADXSD,7/15/2013
VKMLE,VKML,07/12/2013
SRBL,SRBLD,07/12/2013
SNPDE,SNPD,07/12/2013
S.Z,S,07/12/2013
S.V,S,07/12/2013
OFGIZ,OFGIP,07/12/2013
MAZSF,MAOOF,07/12/2013
IVNYD,IVNYY,07/12/2013
ETEC,ETECD,07/12/2013
CRSKF,CRSKD,07/12/2013
BUWR,BLUU,07/12/2013
ANGLF,ANGLD,07/12/2013
LRTCD,HBMC,07/11/2013
LRTC,HBMC,07/11/2013
HKIG,HBMC,07/11/2013
GYSA,DINO,07/11/2013
CGXEF,CGXED,07/11/2013
BPCOD,BPCOF,07/11/2013
AGRM,PWIT,07/11/2013
ZDVNE,ZDVN,07/10/2013
WHLME,WHLM,07/10/2013
WTERE,WTER,07/09/2013
WHLM,WHLME,07/09/2013
TMW,THRK,07/09/2013
PBMFF,PBMFD,07/09/2013
MCYGD,MCYGF,07/09/2013
LTVL,LTVLD,07/09/2013
GAENE,WTER,07/09/2013
GAEND,WTER,07/09/2013
GAEN,WTER,07/09/2013
EMM,RSCO,07/09/2013
ELR,ONEK,07/09/2013
AVR,EDV,07/09/2013
AOILE,AOIL,07/09/2013
ZDVN,ZDVNE,07/08/2013
WTER,WTERE,07/08/2013
VUQO,WMAC,07/08/2013
VKML,VKMLE,07/08/2013
TTNCD,TTNC,07/08/2013
SNFV,TDNT,07/08/2013
SNET,SNETD,07/08/2013
S.V,S.Z,07/08/2013
OCEE,OCEED,07/08/2013
GTBDF,GTBDD,07/08/2013
GAENE,WTERE,07/08/2013
GAEND,WTERE,07/08/2013
GAEN,WTERE,07/08/2013
EGFEY,EGFED,07/08/2013
CTIIF,COGGF,07/08/2013
CTIID,COGGF,07/08/2013
BOIG,BOIGD,07/08/2013
AOIL,AOILE,07/08/2013
WSTY,SLNN,07/05/2013
SALTF,SALTE,07/05/2013
PTWHF,PTWHD,07/05/2013
MPHB,MAGNUM,07/05/2013
KCG.V,KCG,07/05/2013
EVRTF,EVRTD,07/05/2013
AZRH,AZRHD,07/05/2013
NANMD,NANM,07/03/2013
MRGRF,MRGRY,07/03/2013
MRGQY,MRGQZ,07/03/2013
LOTED,LOTE,07/03/2013
DC/PA,DRM/PA,07/03/2013
DBA,DBAN,07/03/2013
BOLD,LOTE,07/03/2013
ALLN,ALLND,07/03/2013
WRAPD,WRAP,07/02/2013
VNRSP,VNRAP,07/02/2013
IBRC,IBRCD,07/02/2013
GNNCD,RTSO,07/02/2013
GNNC,RTSO,07/02/2013
DAKO,AMGC,07/02/2013
CSTR,OUTR,07/02/2013
COIND,FNJN,07/02/2013
COIN,FNJN,07/02/2013
CKFCD,CKFC,07/02/2013
AWSS,FROT,07/02/2013
UDWK,UDWKD,07/01/2013
TRBC,TRCB,07/01/2013
SCVMD,SCVM,07/01/2013
NWSVV,NWS,07/01/2013
NWSAV,NWSA,07/01/2013
NWSA,FOXA,07/01/2013
NWS,FOX,07/01/2013
MNK.V,MNK,07/01/2013
GAENE,WTER,07/01/2013
GAEND,WTER,07/01/2013
GAEN,WTER,07/01/2013
FTE,ORAN,07/01/2013
FNBN,COB,07/01/2013
FEIID,ARHI,07/01/2013
FEII,ARHI,07/01/2013
DTRKD,DTRK,07/01/2013
DATA,DTRK,07/01/2013
CXZ,CRHRF,07/01/2013
CTGX,CTG,07/01/2013
CPBC,TRCB,07/01/2013
CARN,SING,07/01/2013
BPIRY,BPIRD,07/01/2013
ATTD,ATTDD,07/01/2013
AQOC,CACT,07/01/2013
TSMND,TSMNF,6/28/2013
PBKEF,LSTMF,6/28/2013
ORGL,SVLT,6/28/2013
MSVSD,BMIN,6/28/2013
MSVS,BMIN,6/28/2013
MPNG,MPI,6/28/2013
GFMDD,MWAR,6/28/2013
GFMD,MWAR,6/28/2013
FORC,FORCD,6/28/2013
EMBK,MWAR,6/28/2013
CPBC,TRBC,6/28/2013
OSHSQ,OSHQE,6/27/2013
OSHSP,OSHQE,6/27/2013
NTRRE,NTRR,6/27/2013
NAWLD,BIMI,6/27/2013
NAWL,BIMI,6/27/2013
LFDEF,LFDED,6/27/2013
DRHCE,DRHC,6/27/2013
FLTR,ESNT,6/26/2013
AFSIP,AFSI$A,6/26/2013
YRLLD,YRLLF,6/25/2013
WYHSP,WY$A,6/25/2013
