Old Ticker,New Ticker,Effective Date
SLCFD,SLCFF,2/24/2012
SGBHE,SGBHF,2/24/2012
MZAV,IMTC,2/24/2012
HOMSE,HOMS,2/24/2012
CFECD,NANI,2/24/2012
CFEC,NANI,2/24/2012
TPPRE,TPPR,2/23/2012
PNMSD,ELWD,2/23/2012
PNMS,ELWD,2/23/2012
NVGND,NVGN,2/23/2012
KNTC,CACL,2/23/2012
ILVCD,ILVC,2/23/2012
GWYIE,GWYI,2/23/2012
FRMOD,FRMO,2/23/2012
CYIXD,GWYI,2/23/2012
BTHRE,BTHR,2/23/2012
ACNIQ,ACNI,2/23/2012
UVFTD,UVFT,2/22/2012
SWDZD,SWDZ,2/22/2012
SSBND,SSBN,2/22/2012
SPAGD,SPAG,2/22/2012
SETSD,SETS,2/22/2012
RZPKD,RZPK,2/22/2012
NTLKE,NTLK,2/22/2012
MWFHE,MWFH,2/22/2012
MMAXE,MMAX,2/22/2012
LMCO,LIMO,2/22/2012
LIMOD,LIMO,2/22/2012
HBMKE,HBMK,2/22/2012
FGYH,FGBI,2/22/2012
EWRLD,EWRL,2/22/2012
CTOND,CTON,2/22/2012
CEHCD,CEHC,2/22/2012
APGAE,APGA,2/22/2012
APGAD,APGA,2/22/2012
AGYPD,AGYP,2/22/2012
WFSL,WAFD,2/21/2012
TWDLD,TWDL,2/21/2012
THUBD,THUB,2/21/2012
RDBOE,RDBO,2/21/2012
PPTOE,PPTO,2/21/2012
NXMRE,NXMR,2/21/2012
NPDT,NPDTE,2/21/2012
KTRCE,KTRC,2/21/2012
ISATE,ISAT,2/21/2012
GGOCD,FERN,2/21/2012
GGOC,FERN,2/21/2012
AFLBE,AFLB,2/21/2012
WENED,WENEF,2/17/2012
UNCFD,UNCFY,2/17/2012
TBXC,FOSI,2/17/2012
REGPP,REG.PRF,2/17/2012
DLOVE,DLOV,2/17/2012
CUGI,CUI,2/17/2012
AAEED,AAEEF,2/17/2012
UDHC,JNSH,2/16/2012
NWTLY,NWTLD,2/16/2012
NNN.PRC,NNN.PRC.CL,2/16/2012
LYONE,LYON,2/16/2012
BNTED,TNTY,2/16/2012
BNTE,TNTY,2/16/2012
AVTR,AVHI,2/16/2012
AEN,SYN,2/16/2012
ORNG,XSPY,2/15/2012
JZZID,JZZI,2/15/2012
