Old Ticker,New Ticker,Effective Date
NPHCE,NPHC,5/21/2012
MREOE,MREO,5/21/2012
MNBTE,MNBT,5/21/2012
MMBFE,MMBF,5/21/2012
MKHDE,MKHD,5/21/2012
MDTCE,MDTC,5/21/2012
KRANE,KRAN,5/21/2012
IVOBE,IVOB,5/21/2012
IORGE,IORG,5/21/2012
IFSLE,IFSL,5/21/2012
IDCXE,IDCX,5/21/2012
HCTIE,HCTI,5/21/2012
GCHTE,GCHT,5/21/2012
GBHLE,GBHL,5/21/2012
FVRGE,FVRG,5/21/2012
ENSLE,ENSL,5/21/2012
ECCEE,ECCE,5/21/2012
DUKSE,DUKS,5/21/2012
DFNSE,DFNS,5/21/2012
DBYCE,DBYC,5/21/2012
DBTBE,DBTB,5/21/2012
CTLHE,CTLH,5/21/2012
CSOLE,CSOL,5/21/2012
CSAYE,CSAY,5/21/2012
CRUIE,CRUI,5/21/2012
CPCFE,CPCF,5/21/2012
CNSVE,CNSV,5/21/2012
CKGTE,CKGT,5/21/2012
CHBUE,CHBU,5/21/2012
CFISE,CFIS,5/21/2012
CEYYE,CEYY,5/21/2012
CELOE,CELO,5/21/2012
CAGME,CAGM,5/21/2012
CADVE,CADV,5/21/2012
CAAG,WIIM,5/21/2012
BMTLE,BMTL,5/21/2012
BJCTE,BJCT,5/21/2012
BGESE,BGES,5/21/2012
BDCGE,BDCG,5/21/2012
ATTH,MYOS,5/21/2012
ATOCE,ATOC,5/21/2012
ASYIE,ASYI,5/21/2012
ANPZE,ANPZ,5/21/2012
ACRIE,ACRI,5/21/2012
ACRID,ACRI,5/21/2012
AAVGE,AAVG,5/21/2012
SMNGE,SMNG,5/18/2012
SIBNE,SIBN,5/18/2012
QXM,QXMCF,5/18/2012
PJR,PJR.CL,5/18/2012
PAYDE,PAYD,5/18/2012
ORSI,XFCH,5/18/2012
IDBLL,IDBLZ,5/18/2012
HNINE,HNIN,5/18/2012
EPAZE,EPAZ,5/18/2012
CYIPE,CYIP,5/18/2012
CPLJD,CPLJF,5/18/2012
BILBE,BILB,5/18/2012
ASOEE,ASOE,5/18/2012
AIV.PRY,AIV.PRY.CL,5/18/2012
AIV.PRV,AIV.PRV.CL,5/18/2012
AIV.PRT,AIV.PRT.CL,5/18/2012
AEXPE,AEXP,5/18/2012
SGCAD,DUMA,5/17/2012
SGCA,DUMA,5/17/2012
MNDLE,MNDL,5/17/2012
MCLNE,MCLN,5/17/2012
GISVD,INVU,5/17/2012
GISV,INVU,5/17/2012
GCIHE,GCIH,5/17/2012
FRFSD,FRFS,5/17/2012
CVCT,DEWM,5/17/2012
COYNE,COYN,5/17/2012
WRDS,WILD,5/16/2012
WHIO,LIHC,5/16/2012
NCAPE,NCAP,5/16/2012
GNLKE,GNLK,5/16/2012
XSTO,XTLS,5/15/2012
TMENE,TMEN,5/15/2012
TCYCF,TC.PRT,5/15/2012
PVRSE,PVRS,5/15/2012
PSB.PRI,PSB.PRI.CL,5/15/2012
PSB.PRH,PSB.PRH.CL,5/15/2012
NDBE,AOIL,5/15/2012
LTUSE,LTUS,5/15/2012
LOTID,MIBI,5/15/2012
LOTI,MIBI,5/15/2012
LIZ,FNP,5/15/2012
CRDAD,CRDAF,5/15/2012
ZPPBD,ZPPB,5/14/2012
UNDTE,UNDT,5/14/2012
UHLND,UHLN,5/14/2012
RTCID,TNIB,5/14/2012
RTCI,TNIB,5/14/2012
PSBLL,PSB.PRT,5/14/2012
HNUZD,HNUZF,5/14/2012
ETGI,LYYN,5/14/2012
AVOED,RAGO,5/14/2012
AVOE,RAGO,5/14/2012
ANO,ATL,5/14/2012
UFGSD,UFGSY,05/11/2012
SDGU,RIOB,05/11/2012
RIOBD,RIOB,05/11/2012
HZNB,HZNBE,05/11/2012
GLHVE,GLHV,05/11/2012
FRYPE,FRYP,05/11/2012
EFIRE,EFIR,05/11/2012
BVGID,BVGIF,05/11/2012
ZIOLL,ZB.PRF,05/10/2012
ZB.PRE,ZB.PRE.CL,05/10/2012
XING,XINGF,05/10/2012
KUN,CKUN,05/10/2012
CPXED,SUME,05/10/2012
CPXE,SUME,05/10/2012
AXXED,AXXE,05/10/2012
TCNH,ACLP,05/09/2012
OPWV,UPIP,05/09/2012
GTVCE,GTVCF,05/09/2012
FCPGE,FCPG,05/09/2012
CFMIE,CFMI,05/09/2012
ASFXE,ASFX,05/09/2012
THOEF,TAHO,05/08/2012
PTELE,PTEL,05/08/2012
NVNC,IMUN,05/08/2012
FRGIV,FRGI,05/08/2012
CPHBE,CPHB,05/08/2012
CALVE,CALVF,05/08/2012
ALCDD,ALCD,05/08/2012
XNGRE,XNGR,05/07/2012
UTA,UTRA,05/07/2012
TEMNE,TEMN,05/07/2012
SCRKE,SCRK,05/07/2012
SANZ,DENR,05/07/2012
NWCIE,NWCI,05/07/2012
KDKNE,KDKN,05/07/2012
ILSTE,ILST,05/07/2012
ELANE,ELAN,05/07/2012
CSKHE,CSKH,05/07/2012
COCBE,COCBF,05/07/2012
BLRZD,BLRZF,05/07/2012
BAEAE,BAEA,05/07/2012
ADSUE,ADSU,05/07/2012
UTREF,UWEFF,05/04/2012
UHFID,UHFI,05/04/2012
PSA.PRN,PSA.PRN.CL,05/04/2012
OIDND,OIDN,05/04/2012
NOSHD,EDEV,05/04/2012
NOSH,EDEV,05/04/2012
MOJOE,MOJO,05/04/2012
MNEL,MNELF,05/04/2012
FCHSD,FCHS,05/04/2012
BOSM,HAIR,05/04/2012
BBTOZ,BBT.PRD,05/04/2012
TYTND,TYTN,05/03/2012
NSLSD,NSLSF,05/03/2012
WB.PRC,WB.PRC.CL,05/02/2012
VTDIE,VTDI,05/02/2012
RSRS,DIDG,05/02/2012
RNNMD,VYDR,05/02/2012
RNNM,VYDR,05/02/2012
MHYSE,MHYS,05/02/2012
LBGE,FITX,05/02/2012
HLRED,HLREF,05/02/2012
GAHCE,GAHC,05/02/2012
FWF,FWF.CL,05/02/2012
BOBSE,BOBS,05/02/2012
BKUCD,BKUCF,05/02/2012
BBFX,WHHT,05/02/2012
ANVX,HRAA,05/02/2012
SRNAE,SRNA,05/01/2012
PSX.WI,PSX,05/01/2012
PRTND,PRTN,05/01/2012
PNUFL,PNC.PRP,05/01/2012
PLORD,PLORF,05/01/2012
IROGE,IROG,05/01/2012
GLAD.PRA,GLADP,05/01/2012
ERRCF,ERRCD,05/01/2012
ABD,ACCO,05/01/2012
UDR.PRG,UDR.PRG.CL,4/30/2012
SWIFD,SWIF,4/30/2012
SPBUE,SPBU,4/30/2012
PAPM,GSPE,4/30/2012
LXP.PRB,LXP.PRB.CL,4/30/2012
HHGP,HSON,4/30/2012
USNRD,USNR,4/27/2012
SSTCD,SSTC,4/27/2012
SSKIY,SSKIZ,4/27/2012
IKCC,FUEG,4/27/2012
HIT,HTHIY,4/27/2012
FEELD,FEEL,4/27/2012
CHRIE,CHRI,4/27/2012
ADHCD,ADHC,4/27/2012
WSCEE,WSCE,4/26/2012
RCLLE,RCLL,4/26/2012
KNBAD,KNBA,4/26/2012
HHGME,HHGM,4/26/2012
GNAUE,GNAU,4/26/2012
CHGLE,CHGL,4/26/2012
AGRTD,AGRT,4/26/2012
UBDLP,USB.PRN,4/25/2012
TKOIE,TKOI,4/25/2012
REPLE,REPL,4/25/2012
QEBRE,QEBR,4/25/2012
PWSVD,LSLD,4/25/2012
PWSV,LSLD,4/25/2012
PEITP,PEI.PRA,4/25/2012
GGOX,GIG,4/25/2012
CUYC,BERI,4/25/2012
BMODE,BMOD,4/25/2012
ABD.WI,ACCO.WI,4/25/2012
PYMBE,PYMB,4/24/2012
ONBIE,ONBI,4/24/2012
GDNF,STAF,4/24/2012
BUKRF,BUKRD,4/24/2012
BRZMD,TLFX,4/24/2012
BRZM,TLFX,4/24/2012
AMBSE,AMBS,4/24/2012
ZLDVD,FONU,4/23/2012
ZLDV,FONU,4/23/2012
VAMA,GPDB,4/23/2012
SANPD,SANP,4/23/2012
RNERE,RNER,4/23/2012
PDPRD,PDPR,4/23/2012
LHO.PRE,LHO.PRE.CL,4/23/2012
LHO.PRD,LHO.PRD.CL,4/23/2012
KIWBE,KIWB,4/23/2012
KALOE,KALO,4/23/2012
DIRVE,DIRV,4/23/2012
BIBB,WARM,4/23/2012
AMARE,AMAR,4/23/2012
WSMLD,WSML,4/20/2012
VIICE,VIIC,4/20/2012
TEVED,TEVE,4/20/2012
PVSO,MTST,4/20/2012
KENSD,KENS,4/20/2012
EVRTD,EVRTF,4/20/2012
CHMDE,CHMD,4/20/2012
BZRTD,BZRT,4/20/2012
AFSEE,AFSE,4/20/2012
AFSED,AFSE,4/20/2012
USB.PRK,USB.PRK.CL,4/19/2012
USB.PRJ,USB.PRJ.CL,4/19/2012
TYY.PRB,TYY.PRB.CL,4/19/2012
NSEG,EESI,4/19/2012
INKAE,INKA,4/19/2012
FLAL,VGLD,4/19/2012
DGHG,DGHGE,4/19/2012
DDOOD,DDOO,4/19/2012
CREO,GGIX,4/19/2012
AQOGD,AQOGF,4/19/2012
ANLDD,ANLDP,4/19/2012
XXEBB,XXEBA,4/18/2012
GNYSE,GNYS,4/18/2012
ELITD,ASPU,4/18/2012
ELIT,ASPU,4/18/2012
ALTOE,ALTO,4/18/2012
RJSDD,RJSD,4/17/2012
PHGOE,PHGO,4/17/2012
HPSOD,BABL,4/17/2012
HPSO,BABL,4/17/2012
CGNHE,CGNH,4/17/2012
AFANE,AFAN,4/17/2012
AAABD,STNT,4/17/2012
AAAB,STNT,4/17/2012
SRWYD,GOGR,4/16/2012
SRWY,GOGR,4/16/2012
COLC,CORC,4/16/2012
VNTSD,ASMC,4/13/2012
VNTS,ASMC,4/13/2012
HRZZF,HRZZD,4/13/2012
HBCJF,HBCJD,4/13/2012
ERCXE,ERCX,4/13/2012
BDNWP,BDN.PRE,4/13/2012
ASMCE,ASMC,4/13/2012
WRS,WRS.CL,04/12/2012
SWRSD,PURA,04/12/2012
SWRS,PURA,04/12/2012
PWRME,PWRM,04/12/2012
PHILD,PHIL,04/12/2012
PHIE,PHIL,04/12/2012
MMRFE,MMRF,04/12/2012
IGNIE,IGNI,04/12/2012
BLLID,BLLI,04/12/2012
ANWM,PIPI,04/12/2012
AHLPF,AHL.PRB,04/12/2012
YKHTD,YKHTF,04/11/2012
NCC.PRB,NCC.PRB.CL,04/11/2012
KTCHD,AMOG,04/11/2012
KTCH,AMOG,04/11/2012
JFTTP,JFTTL,04/11/2012
SPNHU,SPLP,04/10/2012
LYRID,LYRI,04/10/2012
KOKXE,KOKX,04/10/2012
HRMY,NUVL,04/10/2012
ECIT,NRBT,04/10/2012
CDIDD,CDID,04/10/2012
ZFSVY,ZURVY,04/09/2012
VRIS,EACR,04/09/2012
PHPG,INRD,04/09/2012
GLBKD,GLBKF,04/09/2012
ESYJF,ESYJY,04/09/2012
ESYJD,ESYJY,04/09/2012
EACRE,EACR,04/09/2012
CYYYF,CESDF,04/09/2012
BTM.C,OIBR.C,04/09/2012
BTM,OIBR,04/09/2012
ACGLF,ARH.PRC,04/09/2012
WWZDD,PFNI,04/05/2012
WWZD,PFNI,04/05/2012
SVWYD,SVWYF,04/05/2012
SNRYD,SNRY,04/05/2012
PCE,PCFO,04/05/2012
NXPCD,NXPC,04/05/2012
GBAL,GBLL,04/05/2012
DLRCO,DLR.PRF,04/05/2012
CRPID,RESS,04/05/2012
CRPI,RESS,04/05/2012
APCSD,APCSF,04/05/2012
TRXT,BOND,04/04/2012
SLGLE,SLGLF,04/04/2012
BDN.PRC,BDN.PRC.CL,04/04/2012
WWSGE,WWSG,04/03/2012
TDGI,HHSE,04/03/2012
PMB.PR,PMB.PR.CL,04/03/2012
PALG,PABL,04/03/2012
ARH.PRB,ARH.PRB.CL,04/03/2012
ARH.PRA,ARH.PRA.CL,04/03/2012
ANCVD,ANCV,04/03/2012
ULU,ULUR,04/02/2012
SRRLE,SRRL,04/02/2012
RDK,HTSI,04/02/2012
PBNPF,PBA,04/02/2012
LUDGD,LUDG,04/02/2012
LEXO,SOCC,04/02/2012
COIND,COIN,04/02/2012
AAAAD,TEXX,04/02/2012
AAAA,TEXX,04/02/2012
VTPID,VTPI,3/30/2012
THRLD,THRLF,3/30/2012
ONFID,SEST,3/30/2012
ONFI,SEST,3/30/2012
MGUYD,MGUY,3/30/2012
MBSTD,MBST,3/30/2012
INCN,ACMA,3/30/2012
TMRG,TRIO,3/29/2012
NEGSE,NEGS,3/29/2012
HSCOD,HSCO,3/29/2012
GRDCD,GROC,3/29/2012
GRDC,GROC,3/29/2012
GDTKD,GDTK,3/29/2012
TTIND,TTIN,3/28/2012
RVBHE,RVBHF,3/28/2012
QGLDD,QGLDF,3/28/2012
MTHL,DAKP,3/28/2012
LLSR,RRHI,3/28/2012
KRCP,KRC.PRG,3/28/2012
FLGIE,FLAF,3/28/2012
FLGI,FLAF,3/28/2012
SSNOD,SSNOF,3/27/2012
RGRYD,RGRYY,3/27/2012
IFCRE,IFCR,3/27/2012
HWKPF,NLPXF,3/27/2012
FDFTE,FDFT,3/27/2012
CXLLE,CXLL,3/27/2012
WKLI,TWGI,3/26/2012
TDLPQ,IMMY,3/26/2012
TDLPD,IMMY,3/26/2012
TDLP,IMMY,3/26/2012
STFMD,STFMF,3/26/2012
SAGE,PGLC,3/26/2012
RBORE,RBOR,3/26/2012
PPLB,SQBG,3/26/2012
LGCUD,LGCUF,3/26/2012
CLKZD,CLKZ,3/26/2012
AMZZE,AMZZ,3/26/2012
ALCLD,HHII,3/26/2012
ALCL,HHII,3/26/2012
PNU,PNU.CL,3/23/2012
ONCED,ISLT,3/23/2012
ONCE,ISLT,3/23/2012
NANS,AMFL,3/23/2012
KMCOP,KIM.PRI,3/23/2012
HCP.PRF,HCP.PRF.CL,3/23/2012
HCP.PRE,HCP.PRE.CL,3/23/2012
DCLTD,DCLT,3/23/2012
CRNZD,CRNZF,3/23/2012
CRNCF,CRNZF,3/23/2012
CFACP,CLNY.PRA,3/23/2012
BERXD,BERX,3/23/2012
AXSPF,AXS.PRC,3/23/2012
TAROF,TARO,3/22/2012
PMOID,PMOIF,3/22/2012
LOOND,LOONF,3/22/2012
INOLD,INOL,3/22/2012
AXMID,AXMIF,3/22/2012
SECID,SECI,3/21/2012
RNRGE,RNRG,3/21/2012
MSIFE,MSIF,3/21/2012
LJPCD,LJPC,3/21/2012
CDGDE,CDGD,3/21/2012
BYRGD,BYRG,3/21/2012
NXWIE,NXWI,3/20/2012
HOTME,HOTM,3/20/2012
GZGTD,CNCT,3/20/2012
GZGT,CNCT,3/20/2012
GMEIE,GMEI,3/20/2012
CCW,CCW.CL,3/20/2012
BSOIE,BSOI,3/20/2012
YKMND,GTCP,3/19/2012
YKMN,GTCP,3/19/2012
SIDND,SIDNF,3/19/2012
PTSRD,PTSRF,3/19/2012
MASPD,MASP,3/19/2012
CMM,CMMCY,3/19/2012
BZCND,BZCN,3/19/2012
XMDCQ,XMDC,3/16/2012
TIGID,OPUS,3/16/2012
TIGI,OPUS,3/16/2012
RMRCF,AVCVF,3/16/2012
KRC.PRF,KRC.PRF.CL,3/16/2012
KRC.PRE,KRC.PRE.CL,3/16/2012
FQVE,DIMI,3/16/2012
DKQ,DKQ.CL,3/16/2012
WB.PRB,WB.PRB.CL,3/15/2012
SSNTA,SSNT,3/15/2012
REFGD,REFG,3/15/2012
AREEO,ARE.PRE,3/15/2012
TAMGD,TAMG,3/14/2012
GXEXF,GIXEF,3/14/2012
ERGOD,ERGO,3/14/2012
CBPJD,CBPJ,3/14/2012
ARP.WI,ARP,3/14/2012
PSAPP,PSA.PRT,3/13/2012
MINED,MINE,3/13/2012
VAEVD,VAEV,03/09/2012
RXPCD,RXPC,03/09/2012
RPMD,QWTR,03/09/2012
QPRJ,UWII,03/09/2012
NWTH,GPCM,03/09/2012
HNTR,PRAY,03/09/2012
HECAP,HCN.PRJ,03/09/2012
ED.PRC,ED.PRC.CL,03/09/2012
ED.PRA,ED.PRA.CL,03/09/2012
CRNCD,CRNCY,03/09/2012
ARE.PRC,ARE.PRC.CL,03/09/2012
ALDFF,AXX,03/09/2012
WHJHQ,WHJH,03/08/2012
USVOD,OVTZ,03/08/2012
USVO,OVTZ,03/08/2012
SNGXD,SNGX,03/08/2012
HDWRD,IGLU,03/08/2012
HDWR,IGLU,03/08/2012
CAAHD,ZYCI,03/08/2012
CAAH,ZYCI,03/08/2012
SRCPD,SRCP,03/07/2012
RGINE,RGIN,03/07/2012
CRSEF,CGJCF,03/07/2012
BOCL,TXGE,03/07/2012
PSA.PRM,PSA.PRM.CL,03/06/2012
PPIID,PPII,03/06/2012
MZIME,MZIM,03/06/2012
LRNCE,PTRA,03/06/2012
LRNCD,PTRA,03/06/2012
LRNC,PTRA,03/06/2012
IVFZ,IVFZD,03/06/2012
EGSRD,EGSR,03/06/2012
CADTD,GFMH,03/06/2012
CADT,GFMH,03/06/2012
TRTHD,TRTH,03/05/2012
NACFD,QUAN,03/05/2012
NACF,QUAN,03/05/2012
GTSOD,GTSO,03/05/2012
SATM,GESI,03/02/2012
GWBUD,GWBU,03/02/2012
TVCFF,TVCFD,03/01/2012
SRGZD,SRGZ,03/01/2012
HCN.PRF,HCN.PRF.CL,03/01/2012
HCN.PRD,HCN.PRD.CL,03/01/2012
BNPDD,TOMI,03/01/2012
BNPD,TOMI,03/01/2012
PFGYE,PFGY,2/29/2012
MVBX,BRFH,2/29/2012
GNNCE,GNNC,2/29/2012
USSID,USSIF,2/28/2012
QBIID,QBII,2/28/2012
HYM,HYM.CL,2/28/2012
GNTO,GNTOF,2/28/2012
CMED,CMEDY,2/28/2012
ACP.RT.WI,ACP.RT,2/28/2012
ZVTKE,ZVTK,2/27/2012
QASPD,QASP,2/27/2012
NNNLL,NNN.PRD,2/27/2012
MUTA,NXES,2/27/2012
MCFUD,MCFUF,2/27/2012
IRSN,ISCI,2/27/2012
CPV,CPV.CL,2/27/2012
CLTRE,CLTR,2/27/2012
CCCOF,CCCOD,2/27/2012
BTWOE,CLCN,2/27/2012
BTWO,CLCN,2/27/2012
