Old Ticker,New Ticker,Effective Date
WSPD,DALP,9/18/2014
VRCVD,VRCV,9/18/2014
TMHOD,FDHC,9/18/2014
TMHO,FDHC,9/18/2014
NXPSQ,NXPS,9/18/2014
MONKE,MONK,9/18/2014
MONKD,MONK,9/18/2014
IAGXQ,IAGX,9/18/2014
GROG,GROGE,9/18/2014
VSHG,VSHGD,9/17/2014
VNCKF,VNCKD,9/17/2014
SSVFF,SSVFD,9/17/2014
RVLLD,RVLLF,9/17/2014
RNIN,CREX,9/17/2014
GLAGE,GLAGD,9/17/2014
GLAG,GLAGD,9/17/2014
FOGC,FOGCD,9/17/2014
CCMO,IHRT,9/17/2014
CBCAE,CBCA,9/17/2014
ABXXE,ABXX,9/17/2014
ABXXD,ABXX,9/17/2014
WH,WSHLY,9/16/2014
TLNUF,TLNUD,9/16/2014
GPAYE,GPAY,9/16/2014
GMGLF,GMGLD,9/16/2014
CSHPP,CHSCM,9/16/2014
BCLI,BCLID,9/16/2014
XLX.V,XLS.V,9/15/2014
VNGED,VNGE,9/15/2014
LRDR,LRDRD,9/15/2014
ABBY,ABBYD,9/15/2014
VSTAD,VSTA,09/12/2014
TRLO,TRLOD,09/12/2014
TEXCD,TEXC,09/12/2014
NWHAD,NWHAF,09/12/2014
MOMO,PALS,09/12/2014
IVSGP,IVR$B,09/12/2014
CDIF,CDIFD,09/12/2014
PTERD,PTERF,09/11/2014
PDO,YUMA,09/11/2014
NITMD,NITMF,09/11/2014
NGRCD,NGRC,09/11/2014
MIXX,MIXXD,09/11/2014
FFLOE,FFLO,09/11/2014
VAPO,VAPOD,09/10/2014
TELK,TELKD,09/10/2014
PPBL,PPBLD,09/10/2014
NCSOD,APSI,09/10/2014
NCSO,APSI,09/10/2014
GVDI,GVDID,09/10/2014
BIGRD,BIGRF,09/10/2014
VOPA,VOPAD,09/09/2014
TLRRF,TLRRD,09/09/2014
SUPI,SUPID,09/09/2014
SOCR,GVSI,09/09/2014
HRDN,HRDND,09/09/2014
GBTOD,GBTO,09/09/2014
BTCC,GVSI,09/09/2014
BODY,BODYD,09/09/2014
BLFA,VOPAD,09/09/2014
TENP,PETVD,09/08/2014
RYOOF,RYOOD,09/08/2014
PETV,PETVD,09/08/2014
OCELE,OCEL,09/08/2014
MRF,JMM,09/08/2014
HKBT,HKBTD,09/08/2014
HIMR,HIMRD,09/08/2014
EVGID,PTLF,09/08/2014
EVGI,PTLF,09/08/2014
ELAY,ELAYD,09/08/2014
CLGL,CLGLD,09/08/2014
AXPW,AXPWD,09/08/2014
WPCZD,WPCZF,09/05/2014
STWGD,VIPV,09/05/2014
STWG,VIPV,09/05/2014
PMNRD,PMNRF,09/05/2014
PAWS,PXYN,09/05/2014
HWKDF,HWKDD,09/05/2014
ADHXF,ADHXD,09/05/2014
UGNTF,UGEIF,09/04/2014
SBLRD,SBLRF,09/04/2014
NCGID,GSTI,09/04/2014
NCGI,GSTI,09/04/2014
BFLX,BFLXD,09/04/2014
ACRID,TACI,09/04/2014
ACRI,TACI,09/04/2014
ACLP,ACLPD,09/04/2014
SHGIF,GLKIF,09/03/2014
ORFG,BKEN,09/03/2014
LRUSF,APSCF,09/03/2014
INLX,INLXD,09/03/2014
IFAN,IFAND,09/03/2014
ICGE,ACTA,09/03/2014
GWIV,INLXD,09/03/2014
APNT,PENC,09/03/2014
SNYRE,SNYR,09/02/2014
SNCGF,SNCGD,09/02/2014
SITSD,SITS,09/02/2014
PNEG,FCEN,09/02/2014
OCAP,SNYR,09/02/2014
NTRNP,NTRSP,09/02/2014
MCII,MCIID,09/02/2014
IPHAF,AUPH,09/02/2014
INCT,FCEN,09/02/2014
IFSM,IEUS,09/02/2014
HTBND,HTBNF,09/02/2014
HRTPD,HRTPY,09/02/2014
GTSOE,GTSOD,09/02/2014
GTSO,GTSOD,09/02/2014
GGLXF,GGLXD,09/02/2014
FMTNF,FMTND,09/02/2014
COPY,ITUS,09/02/2014
CNSV,MNHD,09/02/2014
BONXF,BONXD,09/02/2014
BAYPD,BAYP,09/02/2014
XCLKE,XCLK,8/29/2014
UHFI,ADMG,8/29/2014
RWFCE,RWFC,8/29/2014
MDMJE,CHUM,8/29/2014
MDMJ,CHUM,8/29/2014
MASP,CHUM,8/29/2014
HEIFF,HEOFF,8/29/2014
FRMCD,FRMC,8/29/2014
COSR,XCLK,8/29/2014
BLFA,VOPA,8/29/2014
ADBID,ADBI,8/29/2014
WAFR,WAFRD,8/28/2014
PWTCD,FPWM,8/28/2014
PWTC,FPWM,8/28/2014
MOBOE,MOBO,8/28/2014
MOBOD,MOBO,8/28/2014
LTPBV,LTRPB,8/28/2014
LTPAV,LTRPA,8/28/2014
ACTC,ACTCD,8/28/2014
YIDI,CVRS,8/27/2014
PAOCD,PAOC,8/27/2014
NAVE,PAOC,8/27/2014
GRYE,GRYEF,8/27/2014
GAXFD,GAXFF,8/27/2014
DROP,DROPD,8/27/2014
CRWE,CRWED,8/27/2014
WEWWD,WEWWF,8/26/2014
UUWRD,JKDG,8/26/2014
UUWR,JKDG,8/26/2014
TNGLD,TNGL,8/26/2014
SPRWD,SPRWF,8/26/2014
MZDAD,MZDAF,8/26/2014
AISCD,AISCF,8/26/2014
SHPR,DSOX,8/25/2014
MDCE,MDCED,8/25/2014
MBIS,MECK,8/25/2014
KDKGD,KDKGF,8/25/2014
GPSLF,GSL$B,8/25/2014
GLDS,BARS,8/25/2014
GLDL,BAR,8/25/2014
EFRDF,EFRDD,8/25/2014
DRKOF,DRKOD,8/25/2014
AGSVF,AGSVD,8/25/2014
XREG,XREGE,8/22/2014
XCLK,XCLKE,8/22/2014
SNYR,SNYRE,8/22/2014
SGRBE,SGRB,8/22/2014
SGMZ,SGMZE,8/22/2014
SGGDF,SGGDD,8/22/2014
RWFC,RWFCE,8/22/2014
PLKT,PLKTD,8/22/2014
OCEL,OCELE,8/22/2014
OCAP,SNYRE,8/22/2014
MOXGD,ITGU,8/22/2014
MOXG,ITGU,8/22/2014
JUDO,JUDOE,8/22/2014
GPAY,GPAYE,8/22/2014
COSR,XCLKE,8/22/2014
ASTV,ASTVE,8/22/2014
WYCC,QSIM,8/21/2014
VRCV,VRCVD,8/21/2014
QSIME,QSIM,8/21/2014
MBVA,MBVAE,8/21/2014
IWEBE,IWEB,8/21/2014
ICTL,ICTV,8/21/2014
CWAV,ACXA,8/21/2014
CRSKD,CRSKF,8/21/2014
CLBC,PRCB,8/21/2014
WYCC,QSIME,8/20/2014
UNMV,UNMVE,8/20/2014
TMHO,TMHOD,8/20/2014
SGRB,SGRBE,8/20/2014
RVLLF,RVLLD,8/20/2014
QSIM,QSIME,8/20/2014
MONKE,MONKD,8/20/2014
MONK,MONKD,8/20/2014
IWEB,IWEBE,8/20/2014
FFLO,FFLOE,8/20/2014
ESPI,ESPIE,8/20/2014
DOLVD,DOLV,8/20/2014
BDLFD,ENTK,8/20/2014
BDLF,ENTK,8/20/2014
AGOP,AGOPE,8/20/2014
AGHID,AGHI,8/20/2014
WILS,NXGA,8/19/2014
VNGE,VNGED,8/19/2014
NYBD,PLKD,8/19/2014
MRRM,TLCC,8/19/2014
MGRZF,APCOF,8/19/2014
MERG,MERGD,8/19/2014
GTPTP,GPT$B,8/19/2014
BCCED,BCCEF,8/19/2014
ABXXE,ABXXD,8/19/2014
ABXX,ABXXD,8/19/2014
WSTV,CBCAE,8/18/2014
